date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,09:36:41,PF9922,A32,1742,first_arrival,52303327,28-Apr-2022,-71641.93,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,09:36:41,IL4829,A32,7306,first_arrival,52303327,19-Mar-2023,-71641.93,arrived safely
13-Feb-2022,09:36:41,BY9114,A32,5134,first_arrival,52303327,09-Jan-2023,-71641.93,
13-Feb-2022,09:36:41,EB9550,A32,7028,first_arrival,52303327,21-Jul-2022,-71641.93,arrived safely
13-Feb-2022,09:36:41,UB4003,A32,1892,first_arrival,52303327,01-Jan-2023,-71641.93,
15-Feb-2022,12:51:37,UB4003,D44,7144,move,79825470,01-Jan-2023,-228.94,
19-Feb-2022,20:24:03,AT8207,B3,1057,first_arrival,84087746,02-Jan-2023,-37276.24,
19-Feb-2022,20:24:03,FM5967,B3,7728,first_arrival,84087746,29-Mar-2022,-37276.24,
19-Feb-2022,20:24:03,PN3088,B3,6418,first_arrival,84087746,22-Apr-2023,-37276.24,
19-Feb-2022,20:24:03,JM2867,B3,1791,first_arrival,84087746,21-Jul-2023,-37276.24,arrived safely
07-Mar-2022,16:49:38,AH5670,B3,5686,first_arrival,29358658,21-Feb-2023,-2950.75,
21-Mar-2022,21:55:50,HF8627,D5,0185,first_arrival,72361500,22-Mar-2023,-18917.79,arrived safely
29-Mar-2022,05:03:52,BY9114,A39,5301,move,27916111,09-Jan-2023,-261.80,
31-Mar-2022,23:24:56,KH1755,B3,3839,first_arrival,02049497,01-Jun-2022,-95264.39,arrived safely
31-Mar-2022,23:24:56,RC5699,B3,4313,first_arrival,02049497,16-Oct-2022,-95264.39,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,23:24:56,XX0238,B3,2415,first_arrival,02049497,22-Mar-2023,-95264.39,arrived safely
31-Mar-2022,23:24:56,LL7214,B3,2107,first_arrival,02049497,04-Mar-2023,-95264.39,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,23:24:56,YX2618,B3,6198,first_arrival,02049497,19-Nov-2022,-95264.39,arrived safely
31-Mar-2022,23:24:56,JP6163,B3,5591,first_arrival,02049497,01-Jul-2023,-95264.39,arrived safely
31-Mar-2022,23:24:56,ZA9702,B3,4028,first_arrival,02049497,03-Mar-2023,-95264.39,arrived safely
31-Mar-2022,23:24:56,XO2884,B3,7911,first_arrival,02049497,28-Nov-2022,-95264.39,arrived safely
31-Mar-2022,23:24:56,LQ6093,B3,5751,first_arrival,02049497,03-Jul-2022,-95264.39,
31-Mar-2022,23:24:56,OZ6299,B3,3402,first_arrival,02049497,30-Jul-2023,-95264.39,arrived safely
31-Mar-2022,23:24:56,NY4475,B3,3461,first_arrival,02049497,19-Jan-2023,-95264.39,
03-Apr-2022,17:23:35,JM2867,A39,0526,move,15353051,21-Jul-2023,-377.66,necessary action
05-Apr-2022,02:56:22,OS1350,B3,5338,first_arrival,85549623,31-Dec-2022,-106366.85,operation_cost = purchase_cost + delivery_cost
05-Apr-2022,02:56:22,KT7464,B3,8763,first_arrival,85549623,09-Dec-2022,-106366.85,operation_cost = purchase_cost + delivery_cost
05-Apr-2022,02:56:22,BB2506,B3,1033,first_arrival,85549623,07-Jun-2023,-106366.85,arrived safely
05-Apr-2022,02:56:22,QA7190,B3,4702,first_arrival,85549623,30-May-2022,-106366.85,arrived safely
05-Apr-2022,02:56:22,ZK5075,B3,9497,first_arrival,85549623,16-Oct-2022,-106366.85,
05-Apr-2022,02:56:22,OT5059,B3,5651,first_arrival,85549623,03-Jun-2022,-106366.85,arrived safely
05-Apr-2022,02:56:22,MY9024,B3,6069,first_arrival,85549623,04-Mar-2023,-106366.85,
05-Apr-2022,02:56:22,VI3270,B3,9958,first_arrival,85549623,20-Sep-2022,-106366.85,operation_cost = purchase_cost + delivery_cost
08-Apr-2022,04:35:01,EB9550,D44,6976,move,58983957,21-Jul-2022,-357.06,
10-Apr-2022,12:39:20,UA9976,A48,5876,first_arrival,70237614,30-Jun-2023,-40955.13,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,12:39:20,RK9856,A48,8351,first_arrival,70237614,09-Jul-2022,-40955.13,arrived safely
10-Apr-2022,12:39:20,WS4205,A48,8558,first_arrival,70237614,17-Jun-2022,-40955.13,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,12:39:20,PU9811,A48,8329,first_arrival,70237614,22-Mar-2023,-40955.13,
26-Apr-2022,23:09:56,VW8605,A32,4217,first_arrival,54957871,06-Mar-2023,-51598.30,
26-Apr-2022,23:09:56,LO3800,A32,1794,first_arrival,54957871,07-May-2022,-51598.30,arrived safely
26-Apr-2022,23:09:56,EF0226,A32,2915,first_arrival,54957871,12-Nov-2022,-51598.30,arrived safely
26-Apr-2022,23:09:56,FW6409,A32,9985,first_arrival,54957871,30-Aug-2022,-51598.30,arrived safely
26-Apr-2022,23:09:56,XA2084,A32,2975,first_arrival,54957871,28-Nov-2022,-51598.30,arrived safely
26-Apr-2022,23:09:56,LX4929,A32,0914,first_arrival,54957871,25-Feb-2023,-51598.30,arrived safely
05-May-2022,06:03:09,XX0238,D5,1728,move,70640237,22-Mar-2023,-366.52,
09-May-2022,06:24:58,WS4205,A48,8558,sale,70237614,17-Jun-2022,10553.28,finally
12-May-2022,01:33:28,VW8605,A32,4217,sale,54957871,06-Mar-2023,24558.41,yay
15-May-2022,17:38:39,JM2867,D44,0311,move,33278005,21-Jul-2023,-285.82,
19-May-2022,17:55:11,KH1755,D5,9195,move,59916877,01-Jun-2022,-349.80,moving KH1755 from B3:3839 to D5:9195 under 59916877 invoice
28-May-2022,16:00:17,EF0226,A32,2915,sale,54957871,12-Nov-2022,23251.91,
29-May-2022,09:53:24,QA7190,A48,0590,move,42990310,30-May-2022,-133.80,necessary action
30-May-2022,08:01:07,AI8682,A25,9671,first_arrival,13053516,08-Jan-2023,-86789.85,arrived safely
30-May-2022,08:01:07,PI2267,A25,5164,first_arrival,13053516,13-Dec-2022,-86789.85,
30-May-2022,08:01:07,WZ6295,A25,2528,first_arrival,13053516,29-Sep-2022,-86789.85,
30-May-2022,08:01:07,TN6472,A25,3444,first_arrival,13053516,08-Jun-2022,-86789.85,operation_cost = purchase_cost + delivery_cost
30-May-2022,08:01:07,EC7427,A25,8445,first_arrival,13053516,08-Nov-2022,-86789.85,operation_cost = purchase_cost + delivery_cost
30-May-2022,08:01:07,RA3108,A25,3779,first_arrival,13053516,16-Jul-2022,-86789.85,
30-May-2022,08:01:07,EQ4996,A25,6310,first_arrival,13053516,24-Nov-2022,-86789.85,arrived safely
30-May-2022,08:01:07,JI1542,A25,3409,first_arrival,13053516,01-Feb-2023,-86789.85,arrived safely
01-Jun-2022,14:41:32,JP6163,A25,2195,move,60817260,01-Jul-2023,-190.33,moving JP6163 from B3:5591 to A25:2195 under 60817260 invoice
02-Jun-2022,16:18:03,EB9550,D5,3663,move,42761413,21-Jul-2022,-113.51,
04-Jun-2022,19:27:04,RC5699,B3,4313,sale,02049497,16-Oct-2022,13259.15,
05-Jun-2022,18:38:08,LL7214,B3,2107,sale,02049497,04-Mar-2023,21309.57,finally
10-Jun-2022,04:07:16,ZA9702,B3,4028,sale,02049497,03-Mar-2023,7434.98,finally
11-Jun-2022,21:31:33,LO3800,A32,1794,dispose,54957871,07-May-2022,89.10,resold wasted parts
17-Jun-2022,06:58:53,KZ8250,D5,6789,first_arrival,74279654,17-Jun-2023,-77576.54,
17-Jun-2022,06:58:53,LC5496,D5,6969,first_arrival,74279654,28-Dec-2022,-77576.54,arrived safely
17-Jun-2022,06:58:53,PZ6490,D5,0887,first_arrival,74279654,15-Jun-2023,-77576.54,
17-Jun-2022,06:58:53,QS4556,D5,8074,first_arrival,74279654,03-Apr-2023,-77576.54,arrived safely
17-Jun-2022,06:58:53,IE7739,D5,1956,first_arrival,74279654,03-Feb-2023,-77576.54,arrived safely
17-Jun-2022,06:58:53,FA1578,D5,3794,first_arrival,74279654,21-May-2023,-77576.54,arrived safely
17-Jun-2022,06:58:53,LW6415,D5,2445,first_arrival,74279654,06-Aug-2022,-77576.54,arrived safely
17-Jun-2022,06:58:53,VC8474,D5,6075,first_arrival,74279654,05-Nov-2022,-77576.54,
17-Jun-2022,06:58:53,OU8463,D5,5965,first_arrival,74279654,23-Jun-2023,-77576.54,operation_cost = purchase_cost + delivery_cost
17-Jun-2022,06:58:53,FG2758,D5,3593,first_arrival,74279654,13-Oct-2022,-77576.54,
17-Jun-2022,06:58:53,FU8881,D5,8618,first_arrival,74279654,11-Oct-2022,-77576.54,
18-Jun-2022,01:10:14,UA9976,D44,4577,move,67596612,30-Jun-2023,-108.41,moving UA9976 from A48:5876 to D44:4577 under 67596612 invoice
23-Jun-2022,02:50:55,KH1755,A32,2430,move,54592444,01-Jun-2022,-213.55,moving KH1755 from D5:9195 to A32:2430 under 54592444 invoice
23-Jun-2022,18:30:01,OT5059,B3,5651,dispose,85549623,03-Jun-2022,-238.76,unfortunate
24-Jun-2022,19:08:58,EC7427,A48,7703,move,96873111,08-Nov-2022,-255.03,moving EC7427 from A25:8445 to A48:7703 under 96873111 invoice
27-Jun-2022,04:57:25,FG2758,D5,3593,sale,74279654,13-Oct-2022,15254.47,finally
28-Jun-2022,19:18:01,AH5670,C22,5518,move,70582634,21-Feb-2023,-379.90,necessary action
05-Jul-2022,03:16:57,AT8207,A48,8514,move,05471365,02-Jan-2023,-472.76,moving AT8207 from B3:1057 to A48:8514 under 05471365 invoice
08-Jul-2022,00:10:56,XV5099,B3,2679,first_arrival,53928960,25-Dec-2022,-38715.73,
08-Jul-2022,00:10:56,IT3105,B3,7834,first_arrival,53928960,16-Jul-2023,-38715.73,arrived safely
08-Jul-2022,00:10:56,ZQ3719,B3,5914,first_arrival,53928960,31-Jul-2022,-38715.73,operation_cost = purchase_cost + delivery_cost
08-Jul-2022,00:10:56,JD4033,B3,6212,first_arrival,53928960,14-Jul-2023,-38715.73,operation_cost = purchase_cost + delivery_cost
08-Jul-2022,00:10:56,QG3707,B3,6361,first_arrival,53928960,16-Mar-2023,-38715.73,operation_cost = purchase_cost + delivery_cost
08-Jul-2022,22:20:16,KH1755,D5,4438,move,16564709,01-Jun-2022,-253.18,moving KH1755 from A32:2430 to D5:4438 under 16564709 invoice
12-Jul-2022,16:37:45,LW6415,A39,0184,move,91300444,06-Aug-2022,-328.07,necessary action
13-Jul-2022,01:36:07,KE4468,A25,4386,first_arrival,97935267,06-Jun-2023,-16804.99,
13-Jul-2022,01:36:07,YJ1596,A25,0120,first_arrival,97935267,21-May-2023,-16804.99,operation_cost = purchase_cost + delivery_cost
13-Jul-2022,01:36:07,XS3553,A25,8167,first_arrival,97935267,11-Apr-2023,-16804.99,
13-Jul-2022,01:36:07,RK5534,A25,2444,first_arrival,97935267,01-May-2023,-16804.99,arrived safely
13-Jul-2022,01:36:07,JI9502,A25,2952,first_arrival,97935267,25-Nov-2022,-16804.99,operation_cost = purchase_cost + delivery_cost
13-Jul-2022,01:36:07,LS7849,A25,9798,first_arrival,97935267,10-Jul-2023,-16804.99,operation_cost = purchase_cost + delivery_cost
13-Jul-2022,01:36:07,NK6615,A25,4486,first_arrival,97935267,28-Jan-2023,-16804.99,
13-Jul-2022,01:36:07,NA8515,A25,8337,first_arrival,97935267,08-Feb-2023,-16804.99,operation_cost = purchase_cost + delivery_cost
16-Jul-2022,07:06:02,EB9550,D5,3663,sale,42761413,21-Jul-2022,17748.08,yay
16-Jul-2022,17:36:04,BM4877,A39,1463,first_arrival,98648289,11-Feb-2023,-4267.88,
16-Jul-2022,17:36:04,IG0290,A39,4793,first_arrival,98648289,17-Jan-2023,-4267.88,operation_cost = purchase_cost + delivery_cost
16-Jul-2022,17:36:04,MV2891,A39,4135,first_arrival,98648289,19-Dec-2022,-4267.88,
23-Jul-2022,15:56:42,PF9922,B14,5391,move,27994990,28-Apr-2022,-206.96,
25-Jul-2022,22:09:00,KZ8250,A32,3985,move,81924118,17-Jun-2023,-377.11,
31-Jul-2022,20:40:24,FA1578,B14,8421,move,30434206,21-May-2023,-490.55,moving FA1578 from D5:3794 to B14:8421 under 30434206 invoice
02-Aug-2022,00:04:43,XX0238,D5,1728,sale,70640237,22-Mar-2023,11607.23,finally
03-Aug-2022,18:37:00,QS4556,B3,2053,move,49678720,03-Apr-2023,-316.75,necessary action
05-Aug-2022,10:09:56,KE4468,D44,6496,move,30507976,06-Jun-2023,-393.18,
06-Aug-2022,18:07:52,MV2891,A48,5836,move,61148579,19-Dec-2022,-288.46,
07-Aug-2022,11:35:19,LS7849,D5,5194,move,09829224,10-Jul-2023,-306.37,necessary action
12-Aug-2022,16:09:27,JO4785,B14,4064,first_arrival,34925301,03-Feb-2023,-101489.32,operation_cost = purchase_cost + delivery_cost
12-Aug-2022,16:09:27,KL3598,B14,7478,first_arrival,34925301,14-Nov-2022,-101489.32,operation_cost = purchase_cost + delivery_cost
12-Aug-2022,16:09:27,NN7794,B14,0034,first_arrival,34925301,29-Aug-2022,-101489.32,
12-Aug-2022,16:09:27,EX7628,B14,3601,first_arrival,34925301,19-May-2023,-101489.32,
12-Aug-2022,16:09:27,IV2580,B14,2249,first_arrival,34925301,10-Jun-2023,-101489.32,
12-Aug-2022,16:09:27,EC2299,B14,4605,first_arrival,34925301,12-Jan-2023,-101489.32,operation_cost = purchase_cost + delivery_cost
12-Aug-2022,16:09:27,IE4701,B14,6057,first_arrival,34925301,04-Jul-2023,-101489.32,arrived safely
