date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
15-Feb-2022,08:14:52,CL0629,D44,4738,first_arrival,88566883,05-Mar-2023,-66800.02,
15-Feb-2022,08:14:52,NV0492,D44,0252,first_arrival,88566883,05-Jul-2022,-66800.02,arrived safely
15-Feb-2022,08:14:52,XB1920,D44,3612,first_arrival,88566883,11-Aug-2022,-66800.02,arrived safely
15-Feb-2022,08:14:52,DI6091,D44,0156,first_arrival,88566883,02-Mar-2023,-66800.02,operation_cost = purchase_cost + delivery_cost
15-Feb-2022,08:14:52,XJ6441,D44,9769,first_arrival,88566883,19-Jul-2022,-66800.02,
15-Feb-2022,08:14:52,UH6794,D44,6678,first_arrival,88566883,12-Jul-2023,-66800.02,arrived safely
15-Feb-2022,08:14:52,ID2921,D44,3339,first_arrival,88566883,04-Jun-2022,-66800.02,
15-Feb-2022,08:14:52,AF0063,D44,6688,first_arrival,88566883,25-Jun-2022,-66800.02,
19-Feb-2022,12:25:16,NV0492,B3,1556,move,58214629,05-Jul-2022,-426.49,necessary action
21-Feb-2022,19:45:05,WC5872,A32,6947,first_arrival,35203669,30-Apr-2023,-35914.01,operation_cost = purchase_cost + delivery_cost
21-Feb-2022,19:45:05,GN3749,A32,1937,first_arrival,35203669,05-Jul-2023,-35914.01,
21-Feb-2022,19:45:05,FE2450,A32,7860,first_arrival,35203669,01-Jun-2022,-35914.01,operation_cost = purchase_cost + delivery_cost
18-Mar-2022,03:54:42,LZ0851,A39,8515,first_arrival,53151150,16-Jan-2023,-28770.54,
18-Mar-2022,03:54:42,AT4431,A39,5485,first_arrival,53151150,25-Jun-2022,-28770.54,operation_cost = purchase_cost + delivery_cost
23-Mar-2022,15:46:53,FE2450,B14,8295,move,60340340,01-Jun-2022,-142.80,necessary action
23-Mar-2022,15:53:22,VN8578,A39,0288,first_arrival,82767694,28-Oct-2022,-22060.16,
23-Mar-2022,15:53:22,SK1570,A39,3415,first_arrival,82767694,24-Aug-2022,-22060.16,operation_cost = purchase_cost + delivery_cost
23-Mar-2022,15:53:22,IW9604,A39,8152,first_arrival,82767694,23-Aug-2022,-22060.16,arrived safely
23-Mar-2022,15:53:22,BS4446,A39,1079,first_arrival,82767694,14-Apr-2023,-22060.16,arrived safely
23-Mar-2022,15:53:22,QT1883,A39,8004,first_arrival,82767694,06-Dec-2022,-22060.16,
24-Apr-2022,02:09:55,XJ6441,A48,5213,move,59216339,19-Jul-2022,-237.00,moving XJ6441 from D44:9769 to A48:5213 under 59216339 invoice
06-May-2022,07:36:09,NI0634,A39,7534,first_arrival,52528045,15-Jul-2022,-36085.24,operation_cost = purchase_cost + delivery_cost
06-May-2022,07:36:09,YM8331,A39,3535,first_arrival,52528045,03-Jun-2023,-36085.24,arrived safely
06-May-2022,07:36:09,KP9443,A39,7142,first_arrival,52528045,09-May-2023,-36085.24,arrived safely
06-May-2022,07:36:09,AF0117,A39,7981,first_arrival,52528045,17-Oct-2022,-36085.24,
06-May-2022,07:36:09,JO0097,A39,6391,first_arrival,52528045,24-Feb-2023,-36085.24,arrived safely
06-May-2022,07:36:09,LW8344,A39,8167,first_arrival,52528045,17-Dec-2022,-36085.24,operation_cost = purchase_cost + delivery_cost
18-May-2022,20:12:46,BS4446,A48,3627,move,40720140,14-Apr-2023,-142.90,moving BS4446 from A39:1079 to A48:3627 under 40720140 invoice
27-May-2022,12:38:26,VN8578,D5,5870,move,91376295,28-Oct-2022,-408.89,
29-May-2022,06:39:48,YM8331,A48,0968,move,08656138,03-Jun-2023,-186.96,
29-May-2022,19:06:10,KP9443,A39,7142,sale,52528045,09-May-2023,21852.60,yay
30-May-2022,08:43:59,AP0701,C22,1899,first_arrival,81705137,08-Apr-2023,-47847.55,operation_cost = purchase_cost + delivery_cost
30-May-2022,08:43:59,FJ0326,C22,8883,first_arrival,81705137,11-Jun-2022,-47847.55,
30-May-2022,08:43:59,MP6281,C22,6505,first_arrival,81705137,27-Jun-2023,-47847.55,arrived safely
30-May-2022,08:43:59,RA8763,C22,6453,first_arrival,81705137,20-Apr-2023,-47847.55,
06-Jun-2022,06:55:37,AP0701,B3,9460,move,72121452,08-Apr-2023,-298.31,necessary action
06-Jun-2022,20:08:43,DF9853,D44,8339,first_arrival,33003267,13-Sep-2022,-86319.03,
06-Jun-2022,20:08:43,YP9502,D44,2609,first_arrival,33003267,01-Jan-2023,-86319.03,operation_cost = purchase_cost + delivery_cost
06-Jun-2022,20:08:43,LG2025,D44,7616,first_arrival,33003267,14-Apr-2023,-86319.03,operation_cost = purchase_cost + delivery_cost
06-Jun-2022,20:08:43,DW5179,D44,6357,first_arrival,33003267,30-Jun-2022,-86319.03,operation_cost = purchase_cost + delivery_cost
06-Jun-2022,20:08:43,UA6643,D44,3431,first_arrival,33003267,06-Feb-2023,-86319.03,
06-Jun-2022,20:08:43,KR5188,D44,5290,first_arrival,33003267,14-Oct-2022,-86319.03,operation_cost = purchase_cost + delivery_cost
06-Jun-2022,20:08:43,BN1354,D44,9507,first_arrival,33003267,16-May-2023,-86319.03,
06-Jun-2022,20:08:43,HH0537,D44,1803,first_arrival,33003267,27-Feb-2023,-86319.03,operation_cost = purchase_cost + delivery_cost
06-Jun-2022,20:08:43,AB0478,D44,7933,first_arrival,33003267,31-Aug-2022,-86319.03,
06-Jun-2022,20:08:43,KE7380,D44,2963,first_arrival,33003267,20-May-2023,-86319.03,operation_cost = purchase_cost + delivery_cost
06-Jun-2022,20:08:43,XZ6919,D44,6291,first_arrival,33003267,04-Jul-2022,-86319.03,
13-Jun-2022,10:32:24,CT1559,C22,6102,first_arrival,70607423,26-Jan-2023,-18859.45,
13-Jun-2022,10:32:24,KF3817,C22,6811,first_arrival,70607423,07-Jan-2023,-18859.45,operation_cost = purchase_cost + delivery_cost
13-Jun-2022,10:32:24,WV8908,C22,9063,first_arrival,70607423,03-Jul-2022,-18859.45,
13-Jun-2022,10:32:24,OV3866,C22,6677,first_arrival,70607423,21-Jun-2022,-18859.45,arrived safely
13-Jun-2022,10:32:24,QB1569,C22,9477,first_arrival,70607423,06-May-2023,-18859.45,
13-Jun-2022,10:32:24,PC0149,C22,8327,first_arrival,70607423,02-Jul-2022,-18859.45,operation_cost = purchase_cost + delivery_cost
13-Jun-2022,10:32:24,VE1001,C22,9676,first_arrival,70607423,12-Mar-2023,-18859.45,
13-Jun-2022,10:32:24,BQ4899,C22,3082,first_arrival,70607423,28-Feb-2023,-18859.45,operation_cost = purchase_cost + delivery_cost
13-Jun-2022,10:32:24,XB3008,C22,0284,first_arrival,70607423,09-May-2023,-18859.45,arrived safely
13-Jun-2022,15:07:12,DW5179,A25,4299,move,98948539,30-Jun-2022,-323.10,moving DW5179 from D44:6357 to A25:4299 under 98948539 invoice
15-Jun-2022,07:19:16,IW9604,B14,9058,move,25374514,23-Aug-2022,-430.47,necessary action
15-Jun-2022,19:55:46,XB3008,C22,0284,sale,70607423,09-May-2023,2837.20,finally
16-Jun-2022,10:43:53,UB2670,A32,8330,first_arrival,01754282,28-Jul-2023,-91994.17,
16-Jun-2022,10:43:53,FF9694,A32,4362,first_arrival,01754282,20-Jan-2023,-91994.17,operation_cost = purchase_cost + delivery_cost
16-Jun-2022,10:43:53,UO3845,A32,9367,first_arrival,01754282,01-Jun-2023,-91994.17,
16-Jun-2022,10:43:53,EI8010,A32,7300,first_arrival,01754282,29-Dec-2022,-91994.17,operation_cost = purchase_cost + delivery_cost
16-Jun-2022,10:43:53,AP7140,A32,2215,first_arrival,01754282,11-Sep-2022,-91994.17,
20-Jun-2022,14:28:18,IW9604,B14,9058,sale,25374514,23-Aug-2022,3693.34,yay
25-Jun-2022,12:11:32,UB2670,A32,8330,sale,01754282,28-Jul-2023,9560.52,
25-Jun-2022,22:07:17,KF8480,B3,1773,first_arrival,42439692,15-May-2023,-93077.64,operation_cost = purchase_cost + delivery_cost
25-Jun-2022,22:07:17,TK2411,B3,9686,first_arrival,42439692,29-Jan-2023,-93077.64,operation_cost = purchase_cost + delivery_cost
25-Jun-2022,22:07:17,BZ9471,B3,6160,first_arrival,42439692,17-Sep-2022,-93077.64,
25-Jun-2022,22:07:17,IX0703,B3,5980,first_arrival,42439692,09-May-2023,-93077.64,arrived safely
