date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
15-Feb-2022,01:40:36,HN2007,A39,5917,first_arrival,70078774,09-Apr-2023,-35729.08,operation_cost = purchase_cost + delivery_cost
15-Feb-2022,01:40:36,VS2731,A39,4212,first_arrival,70078774,26-Feb-2022,-35729.08,
15-Feb-2022,01:40:36,MU0301,A39,2279,first_arrival,70078774,07-Sep-2022,-35729.08,arrived safely
15-Feb-2022,01:40:36,YU9199,A39,8144,first_arrival,70078774,04-Jun-2022,-35729.08,arrived safely
15-Feb-2022,01:40:36,VN4674,A39,7826,first_arrival,70078774,05-Apr-2023,-35729.08,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,06:33:50,ZX4196,A48,7196,first_arrival,65980888,22-Mar-2023,-143378.31,arrived safely
27-Feb-2022,06:33:50,HK4667,A48,7591,first_arrival,65980888,06-Jul-2023,-143378.31,
27-Feb-2022,06:33:50,HG8344,A48,0856,first_arrival,65980888,20-Dec-2022,-143378.31,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,06:33:50,CJ0496,A48,4208,first_arrival,65980888,01-May-2023,-143378.31,
27-Feb-2022,06:33:50,IT8101,A48,2810,first_arrival,65980888,25-Jan-2023,-143378.31,arrived safely
27-Feb-2022,06:33:50,UW6319,A48,7161,first_arrival,65980888,19-Jun-2023,-143378.31,
27-Feb-2022,06:33:50,SD6362,A48,6567,first_arrival,65980888,11-Mar-2023,-143378.31,
27-Feb-2022,06:33:50,AK7611,A48,0685,first_arrival,65980888,23-Jul-2023,-143378.31,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,06:33:50,ZZ0772,A48,7046,first_arrival,65980888,21-May-2022,-143378.31,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,06:33:50,IK6376,A48,7550,first_arrival,65980888,15-May-2022,-143378.31,
01-Mar-2022,10:24:02,NU7260,C22,3608,first_arrival,96001222,09-Apr-2022,-18044.09,
01-Mar-2022,10:24:02,VW1886,C22,2607,first_arrival,96001222,16-Apr-2022,-18044.09,operation_cost = purchase_cost + delivery_cost
01-Mar-2022,10:24:02,ER1555,C22,4185,first_arrival,96001222,22-Jun-2023,-18044.09,
02-Mar-2022,09:57:47,ZX4196,C22,8681,move,46789600,22-Mar-2023,-364.17,moving ZX4196 from A48:7196 to C22:8681 under 46789600 invoice
04-Mar-2022,15:32:26,DC3984,A48,5944,first_arrival,62727626,25-Mar-2022,-97959.09,arrived safely
04-Mar-2022,15:32:26,SX9126,A48,7423,first_arrival,62727626,12-May-2023,-97959.09,arrived safely
04-Mar-2022,15:32:26,PD3035,A48,2738,first_arrival,62727626,03-Feb-2023,-97959.09,
04-Mar-2022,15:32:26,XW1608,A48,3551,first_arrival,62727626,11-Oct-2022,-97959.09,operation_cost = purchase_cost + delivery_cost
