date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
01-Mar-2022,23:46:50,JY9538,C22,5059,first_arrival,62165155,15-Aug-2022,-33467.07,
01-Mar-2022,23:46:50,LQ3592,C22,1027,first_arrival,62165155,28-Jul-2022,-33467.07,operation_cost = purchase_cost + delivery_cost
01-Mar-2022,23:46:50,YY6167,C22,4280,first_arrival,62165155,29-Mar-2023,-33467.07,
02-Mar-2022,20:19:57,SQ5017,A48,4985,first_arrival,39819555,20-Sep-2022,-191855.51,arrived safely
02-Mar-2022,20:19:57,MR8149,A48,9882,first_arrival,39819555,16-Mar-2022,-191855.51,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,20:19:57,SH7103,A48,1692,first_arrival,39819555,13-Jul-2023,-191855.51,arrived safely
02-Mar-2022,20:19:57,OQ0776,A48,0721,first_arrival,39819555,14-Sep-2022,-191855.51,arrived safely
02-Mar-2022,20:19:57,ZT0121,A48,2770,first_arrival,39819555,30-Jun-2023,-191855.51,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,20:19:57,PV3890,A48,9365,first_arrival,39819555,18-Jul-2023,-191855.51,arrived safely
02-Mar-2022,20:19:57,MJ7399,A48,9004,first_arrival,39819555,17-Nov-2022,-191855.51,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,20:19:57,ER3168,A48,6746,first_arrival,39819555,26-Jul-2023,-191855.51,
02-Mar-2022,20:19:57,NH8219,A48,5326,first_arrival,39819555,29-Jul-2022,-191855.51,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,20:19:57,HC5783,A48,1741,first_arrival,39819555,15-Apr-2023,-191855.51,arrived safely
02-Mar-2022,20:19:57,OL3794,A48,9953,first_arrival,39819555,02-Oct-2022,-191855.51,arrived safely
08-Mar-2022,19:04:49,MR8149,A48,9882,sale,39819555,16-Mar-2022,29936.27,yay
24-Mar-2022,02:19:34,WF6509,B3,3928,first_arrival,42217196,27-Dec-2022,-5886.33,operation_cost = purchase_cost + delivery_cost
24-Mar-2022,02:19:34,HT2364,B3,9943,first_arrival,42217196,21-Dec-2022,-5886.33,
24-Mar-2022,02:19:34,MQ8625,B3,9465,first_arrival,42217196,17-Jun-2022,-5886.33,
24-Mar-2022,02:19:34,AV2501,B3,0632,first_arrival,42217196,03-May-2022,-5886.33,operation_cost = purchase_cost + delivery_cost
07-Apr-2022,11:12:04,EB5691,C22,0137,first_arrival,93737860,11-Feb-2023,-88913.22,operation_cost = purchase_cost + delivery_cost
07-Apr-2022,11:12:04,KC3918,C22,3379,first_arrival,93737860,19-Jun-2022,-88913.22,arrived safely
07-Apr-2022,11:12:04,BG1053,C22,5663,first_arrival,93737860,21-May-2023,-88913.22,arrived safely
07-Apr-2022,11:12:04,NN7248,C22,6696,first_arrival,93737860,26-May-2022,-88913.22,arrived safely
07-Apr-2022,11:12:04,DK4442,C22,8499,first_arrival,93737860,19-Sep-2022,-88913.22,arrived safely
07-Apr-2022,11:12:04,HY9906,C22,3864,first_arrival,93737860,25-Jul-2022,-88913.22,
07-Apr-2022,11:12:04,ZW1615,C22,5467,first_arrival,93737860,29-Oct-2022,-88913.22,
17-Apr-2022,18:52:03,XS5536,A32,1925,first_arrival,21179392,12-Aug-2022,-97494.20,
17-Apr-2022,18:52:03,VB2857,A32,5254,first_arrival,21179392,15-Feb-2023,-97494.20,operation_cost = purchase_cost + delivery_cost
17-Apr-2022,18:52:03,AL5078,A32,4934,first_arrival,21179392,12-Jul-2022,-97494.20,arrived safely
17-Apr-2022,18:52:03,FO8648,A32,5865,first_arrival,21179392,29-Mar-2023,-97494.20,
17-Apr-2022,18:52:03,XQ6317,A32,6914,first_arrival,21179392,29-Jul-2023,-97494.20,
25-Apr-2022,02:38:11,QV7891,A48,0437,first_arrival,34977177,27-Mar-2023,-14815.52,
25-Apr-2022,02:38:11,FW6837,A48,6586,first_arrival,34977177,27-Oct-2022,-14815.52,
25-Apr-2022,02:38:11,SB3240,A48,2871,first_arrival,34977177,18-Jul-2023,-14815.52,
25-Apr-2022,02:38:11,RG5385,A48,3290,first_arrival,34977177,05-Jan-2023,-14815.52,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,02:38:11,HI5735,A48,7762,first_arrival,34977177,11-Apr-2023,-14815.52,
25-Apr-2022,02:38:11,TD0021,A48,7140,first_arrival,34977177,22-Sep-2022,-14815.52,arrived safely
25-Apr-2022,02:38:11,PJ3592,A48,2552,first_arrival,34977177,19-Jan-2023,-14815.52,
25-Apr-2022,02:38:11,QQ4635,A48,4397,first_arrival,34977177,24-Jan-2023,-14815.52,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,02:38:11,MQ5349,A48,7670,first_arrival,34977177,15-Dec-2022,-14815.52,
25-Apr-2022,02:38:11,OW3819,A48,3214,first_arrival,34977177,08-May-2022,-14815.52,arrived safely
25-Apr-2022,02:38:11,PM1910,A48,6168,first_arrival,34977177,07-Jul-2023,-14815.52,
25-Apr-2022,02:38:11,TY9708,A48,7781,first_arrival,34977177,06-Aug-2022,-14815.52,
26-Apr-2022,04:13:21,TB4975,D44,1640,first_arrival,21213533,13-Mar-2023,-109252.88,arrived safely
26-Apr-2022,04:13:21,OX8726,D44,7394,first_arrival,21213533,18-Aug-2022,-109252.88,operation_cost = purchase_cost + delivery_cost
26-Apr-2022,04:13:21,UR7718,D44,2176,first_arrival,21213533,19-May-2022,-109252.88,arrived safely
26-Apr-2022,04:13:21,IW6328,D44,4019,first_arrival,21213533,08-Oct-2022,-109252.88,
26-Apr-2022,04:13:21,ID1330,D44,9946,first_arrival,21213533,04-Jan-2023,-109252.88,arrived safely
26-Apr-2022,04:13:21,KZ2989,D44,1167,first_arrival,21213533,28-May-2022,-109252.88,
27-Apr-2022,22:53:15,DK4442,D44,0648,move,56949258,19-Sep-2022,-119.84,moving DK4442 from C22:8499 to D44:0648 under 56949258 invoice
28-Apr-2022,09:49:31,OX8726,A25,2306,move,03814514,18-Aug-2022,-459.53,necessary action
05-May-2022,20:32:02,MN7264,A32,7720,first_arrival,89066920,23-Jul-2023,-96716.78,operation_cost = purchase_cost + delivery_cost
05-May-2022,20:32:02,XT9640,A32,6834,first_arrival,89066920,15-Nov-2022,-96716.78,
05-May-2022,20:32:02,RJ0309,A32,2165,first_arrival,89066920,02-May-2023,-96716.78,arrived safely
05-May-2022,20:32:02,KV8638,A32,8182,first_arrival,89066920,31-May-2022,-96716.78,arrived safely
05-May-2022,20:32:02,PH0962,A32,2308,first_arrival,89066920,25-Apr-2023,-96716.78,operation_cost = purchase_cost + delivery_cost
05-May-2022,20:32:02,SB7662,A32,2780,first_arrival,89066920,21-Feb-2023,-96716.78,arrived safely
05-May-2022,20:32:02,SO2963,A32,5476,first_arrival,89066920,06-May-2023,-96716.78,
05-May-2022,20:32:02,KK7226,A32,3021,first_arrival,89066920,24-Sep-2022,-96716.78,arrived safely
05-May-2022,20:32:02,TH6341,A32,4206,first_arrival,89066920,11-Oct-2022,-96716.78,
05-May-2022,20:32:02,IB2940,A32,8811,first_arrival,89066920,01-Sep-2022,-96716.78,
09-May-2022,05:53:50,HR7431,B14,9876,first_arrival,93583355,09-Mar-2023,-81811.87,arrived safely
09-May-2022,05:53:50,GY4071,B14,1187,first_arrival,93583355,10-Oct-2022,-81811.87,operation_cost = purchase_cost + delivery_cost
