date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
25-Mar-2022,06:02:29,ZM6587,A32,3421,first_arrival,51347790,10-Jan-2023,-88218.86,
25-Mar-2022,06:02:29,VZ2498,A32,2483,first_arrival,51347790,18-Feb-2023,-88218.86,
25-Mar-2022,06:02:29,CS1221,A32,3567,first_arrival,51347790,06-Nov-2022,-88218.86,arrived safely
25-Mar-2022,06:02:29,JN9426,A32,8387,first_arrival,51347790,30-Apr-2023,-88218.86,arrived safely
25-Mar-2022,06:02:29,PJ6540,A32,8761,first_arrival,51347790,15-Jul-2023,-88218.86,
25-Mar-2022,06:02:29,YE2651,A32,4845,first_arrival,51347790,04-Jun-2022,-88218.86,operation_cost = purchase_cost + delivery_cost
25-Mar-2022,06:02:29,UN5133,A32,8948,first_arrival,51347790,30-Oct-2022,-88218.86,arrived safely
25-Mar-2022,06:02:29,NZ6978,A32,8352,first_arrival,51347790,24-Apr-2022,-88218.86,
05-Apr-2022,23:36:43,KX1807,D44,9334,first_arrival,22331424,22-Jun-2023,-55529.66,operation_cost = purchase_cost + delivery_cost
05-Apr-2022,23:36:43,CE6343,D44,8132,first_arrival,22331424,24-Nov-2022,-55529.66,operation_cost = purchase_cost + delivery_cost
05-Apr-2022,23:36:43,UV8262,D44,5428,first_arrival,22331424,11-Dec-2022,-55529.66,arrived safely
05-Apr-2022,23:36:43,RZ9563,D44,0940,first_arrival,22331424,27-Dec-2022,-55529.66,arrived safely
05-Apr-2022,23:36:43,LH6844,D44,6813,first_arrival,22331424,01-Aug-2023,-55529.66,arrived safely
05-Apr-2022,23:36:43,MZ7962,D44,6062,first_arrival,22331424,15-Jul-2023,-55529.66,arrived safely
06-Apr-2022,16:39:56,LZ8812,B3,0662,first_arrival,73264134,28-Apr-2022,-115321.32,
06-Apr-2022,16:39:56,ZW7964,B3,5371,first_arrival,73264134,03-Jun-2022,-115321.32,operation_cost = purchase_cost + delivery_cost
06-Apr-2022,16:39:56,IW4618,B3,2923,first_arrival,73264134,16-May-2022,-115321.32,arrived safely
06-Apr-2022,16:39:56,UH8140,B3,2538,first_arrival,73264134,23-Apr-2023,-115321.32,arrived safely
