date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
27-Feb-2022,04:59:10,MX5767,A25,7663,first_arrival,83501319,07-Mar-2023,-26002.63,
27-Feb-2022,04:59:10,AH0440,A25,4155,first_arrival,83501319,02-Aug-2022,-26002.63,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,04:59:10,WS7936,A25,1813,first_arrival,83501319,11-May-2022,-26002.63,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,05:38:57,OQ9283,A25,7894,first_arrival,03875098,10-Aug-2022,-103802.51,
09-Mar-2022,05:38:57,VL7117,A25,7223,first_arrival,03875098,11-Jun-2022,-103802.51,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,05:38:57,RM7053,A25,8865,first_arrival,03875098,20-Oct-2022,-103802.51,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,05:38:57,IK1669,A25,6236,first_arrival,03875098,30-Apr-2023,-103802.51,arrived safely
09-Mar-2022,05:38:57,CV5542,A25,3013,first_arrival,03875098,11-Mar-2023,-103802.51,arrived safely
09-Mar-2022,05:38:57,VD2279,A25,8034,first_arrival,03875098,28-Mar-2023,-103802.51,arrived safely
10-Mar-2022,18:16:14,VL7117,C22,0534,move,23366903,11-Jun-2022,-129.34,necessary action
12-Mar-2022,07:35:04,PC7932,D44,9445,first_arrival,33297015,03-Jul-2022,-82365.18,arrived safely
12-Mar-2022,07:35:04,NJ7707,D44,7559,first_arrival,33297015,05-Mar-2023,-82365.18,operation_cost = purchase_cost + delivery_cost
12-Mar-2022,07:35:04,BN6529,D44,8831,first_arrival,33297015,20-Feb-2023,-82365.18,operation_cost = purchase_cost + delivery_cost
12-Mar-2022,07:35:04,SP7396,D44,5207,first_arrival,33297015,03-May-2023,-82365.18,operation_cost = purchase_cost + delivery_cost
12-Mar-2022,07:35:04,MG5128,D44,2230,first_arrival,33297015,17-Jul-2023,-82365.18,arrived safely
12-Mar-2022,22:08:42,VL7117,A32,0883,move,13556717,11-Jun-2022,-330.58,moving VL7117 from C22:0534 to A32:0883 under 13556717 invoice
