date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,00:43:36,UA4768,D5,8525,first_arrival,56709141,10-Sep-2022,-79089.41,arrived safely
13-Feb-2022,00:43:36,LZ2289,D5,4801,first_arrival,56709141,10-Apr-2022,-79089.41,
13-Feb-2022,00:43:36,AO3836,D5,1245,first_arrival,56709141,03-Apr-2023,-79089.41,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,00:43:36,AA7488,D5,9230,first_arrival,56709141,07-Mar-2023,-79089.41,
13-Feb-2022,00:43:36,BN0466,D5,2960,first_arrival,56709141,08-Jul-2022,-79089.41,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,00:43:36,XH2268,D5,4952,first_arrival,56709141,23-Jun-2023,-79089.41,
22-Feb-2022,12:28:53,AA7488,A32,7606,move,54903801,07-Mar-2023,-169.54,
06-Mar-2022,05:40:58,VJ6339,B14,0996,first_arrival,88601315,19-Jul-2023,-113984.55,
06-Mar-2022,05:40:58,XC3538,B14,5611,first_arrival,88601315,06-Apr-2023,-113984.55,arrived safely
06-Mar-2022,05:40:58,LA2997,B14,9576,first_arrival,88601315,27-Sep-2022,-113984.55,
06-Mar-2022,05:40:58,IU8746,B14,2052,first_arrival,88601315,28-Jul-2023,-113984.55,
06-Mar-2022,05:40:58,TN3036,B14,5628,first_arrival,88601315,01-Jan-2023,-113984.55,arrived safely
06-Mar-2022,05:40:58,IW1085,B14,8040,first_arrival,88601315,22-Nov-2022,-113984.55,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,05:40:58,LF3006,B14,7602,first_arrival,88601315,07-Jun-2023,-113984.55,operation_cost = purchase_cost + delivery_cost
08-Mar-2022,17:03:36,AO3836,D5,1245,sale,56709141,03-Apr-2023,11633.60,finally
09-Mar-2022,03:30:21,OO7110,B14,1472,first_arrival,26818941,02-Jun-2023,-84350.75,arrived safely
09-Mar-2022,03:30:21,WB4637,B14,9731,first_arrival,26818941,27-Apr-2022,-84350.75,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,03:30:21,PC1999,B14,6180,first_arrival,26818941,30-Jun-2022,-84350.75,
09-Mar-2022,03:30:21,RU0660,B14,9211,first_arrival,26818941,05-Jun-2023,-84350.75,arrived safely
09-Mar-2022,03:30:21,EZ5404,B14,4895,first_arrival,26818941,17-Feb-2023,-84350.75,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,03:30:21,ZY2739,B14,8887,first_arrival,26818941,28-Jun-2022,-84350.75,
09-Mar-2022,03:30:21,VN7450,B14,4461,first_arrival,26818941,08-Apr-2022,-84350.75,
11-Mar-2022,12:12:14,FN4664,C22,8849,first_arrival,16773528,29-Sep-2022,-10590.53,arrived safely
11-Mar-2022,12:12:14,TF4886,C22,2292,first_arrival,16773528,28-Apr-2022,-10590.53,
11-Mar-2022,18:13:44,KZ1060,C22,8325,first_arrival,80299839,17-Jan-2023,-92405.34,arrived safely
11-Mar-2022,18:13:44,WN3834,C22,0017,first_arrival,80299839,27-Jan-2023,-92405.34,
11-Mar-2022,18:13:44,AG1214,C22,7837,first_arrival,80299839,07-May-2022,-92405.34,operation_cost = purchase_cost + delivery_cost
11-Mar-2022,18:13:44,SL7425,C22,3895,first_arrival,80299839,13-Jul-2023,-92405.34,
11-Mar-2022,18:13:44,ML9582,C22,8518,first_arrival,80299839,23-Sep-2022,-92405.34,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,18:46:44,JE0959,A39,7825,first_arrival,82851616,02-Sep-2022,-26529.79,
20-Mar-2022,18:46:44,LK8519,A39,2895,first_arrival,82851616,30-Sep-2022,-26529.79,arrived safely
20-Mar-2022,18:46:44,BC9763,A39,8676,first_arrival,82851616,22-Jun-2022,-26529.79,arrived safely
20-Mar-2022,18:46:44,RU8575,A39,9426,first_arrival,82851616,28-Aug-2022,-26529.79,operation_cost = purchase_cost + delivery_cost
