date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
28-Feb-2022,01:00:58,JQ1981,A39,5552,first_arrival,36159089,27-Jun-2022,-66471.42,arrived safely
28-Feb-2022,01:00:58,RR0214,A39,8189,first_arrival,36159089,18-Mar-2022,-66471.42,arrived safely
28-Feb-2022,01:00:58,BD8186,A39,9059,first_arrival,36159089,25-Feb-2023,-66471.42,arrived safely
28-Feb-2022,01:00:58,CN2637,A39,5569,first_arrival,36159089,04-Jul-2022,-66471.42,
28-Feb-2022,01:00:58,TN8598,A39,1854,first_arrival,36159089,27-Mar-2022,-66471.42,operation_cost = purchase_cost + delivery_cost
28-Feb-2022,01:00:58,CJ8097,A39,7926,first_arrival,36159089,13-Aug-2022,-66471.42,arrived safely
28-Feb-2022,01:00:58,TM6133,A39,1775,first_arrival,36159089,05-May-2023,-66471.42,arrived safely
28-Feb-2022,01:00:58,YV7617,A39,4576,first_arrival,36159089,22-Apr-2022,-66471.42,
02-Mar-2022,10:42:14,JQ1981,B3,0324,move,57381939,27-Jun-2022,-462.32,
03-Mar-2022,23:02:23,DZ6512,B14,0125,first_arrival,39911193,30-Jul-2022,-13745.08,arrived safely
10-Mar-2022,13:15:09,RR0214,A48,3115,move,04304228,18-Mar-2022,-216.16,
26-Mar-2022,14:27:40,DG4644,D44,7442,first_arrival,64851821,12-Apr-2022,-32377.69,arrived safely
26-Mar-2022,14:27:40,FU4856,D44,4002,first_arrival,64851821,24-Apr-2022,-32377.69,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,05:16:40,IJ0687,A32,2457,first_arrival,13832705,05-Jun-2023,-32052.43,
31-Mar-2022,05:16:40,AC1716,A32,2537,first_arrival,13832705,07-Dec-2022,-32052.43,arrived safely
31-Mar-2022,05:16:40,UJ3942,A32,1899,first_arrival,13832705,23-May-2022,-32052.43,arrived safely
31-Mar-2022,05:16:40,DN8191,A32,4645,first_arrival,13832705,21-May-2022,-32052.43,
31-Mar-2022,05:16:40,ZL8407,A32,5955,first_arrival,13832705,06-Jun-2022,-32052.43,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,05:16:40,CT2103,A32,0714,first_arrival,13832705,11-Jan-2023,-32052.43,
31-Mar-2022,05:16:40,ZF6300,A32,7495,first_arrival,13832705,12-Nov-2022,-32052.43,
31-Mar-2022,05:16:40,TZ2379,A32,5694,first_arrival,13832705,07-Jul-2022,-32052.43,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,05:16:40,HW1684,A32,3609,first_arrival,13832705,05-Jul-2023,-32052.43,arrived safely
31-Mar-2022,05:16:40,US7896,A32,5719,first_arrival,13832705,02-Dec-2022,-32052.43,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,05:16:40,RZ4259,A32,5572,first_arrival,13832705,12-May-2022,-32052.43,operation_cost = purchase_cost + delivery_cost
31-Mar-2022,05:16:40,ID3276,A32,4242,first_arrival,13832705,31-Oct-2022,-32052.43,arrived safely
09-Apr-2022,10:08:03,BV1310,B3,1753,first_arrival,34353308,01-Jul-2022,-27708.36,
09-Apr-2022,10:08:03,DX6789,B3,8463,first_arrival,34353308,25-Jul-2023,-27708.36,operation_cost = purchase_cost + delivery_cost
09-Apr-2022,10:08:03,MQ3008,B3,9906,first_arrival,34353308,09-May-2023,-27708.36,
09-Apr-2022,10:08:03,MH9247,B3,7367,first_arrival,34353308,29-Apr-2023,-27708.36,operation_cost = purchase_cost + delivery_cost
09-Apr-2022,10:08:03,LI1834,B3,8734,first_arrival,34353308,28-Mar-2023,-27708.36,
11-Apr-2022,06:17:21,UX1903,D5,7796,first_arrival,61530376,25-Dec-2022,-26077.28,operation_cost = purchase_cost + delivery_cost
11-Apr-2022,06:17:21,UQ6913,D5,8891,first_arrival,61530376,14-Mar-2023,-26077.28,
25-Apr-2022,02:57:27,BD8186,B3,3031,move,52253653,25-Feb-2023,-376.23,necessary action
25-Apr-2022,14:48:56,KD4594,B3,5180,first_arrival,25385276,19-Aug-2022,-103899.90,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,14:48:56,RV2370,B3,1056,first_arrival,25385276,05-Apr-2023,-103899.90,operation_cost = purchase_cost + delivery_cost
