date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
16-Feb-2022,14:38:02,SZ6195,B14,7007,first_arrival,71020101,03-Mar-2022,-3876.87,
03-Mar-2022,21:01:52,BA8315,D44,3344,first_arrival,11037758,31-Jan-2023,-43797.97,arrived safely
03-Mar-2022,21:01:52,CY1113,D44,9180,first_arrival,11037758,11-May-2023,-43797.97,arrived safely
03-Mar-2022,21:01:52,OH3865,D44,7321,first_arrival,11037758,30-Aug-2022,-43797.97,
15-Mar-2022,06:22:22,CY1113,B3,5352,move,13067891,11-May-2023,-335.57,necessary action
18-Mar-2022,11:49:42,GO6932,A32,1423,first_arrival,91439814,15-Oct-2022,-44813.53,
18-Mar-2022,11:49:42,CX0039,A32,1521,first_arrival,91439814,21-May-2022,-44813.53,
18-Mar-2022,11:49:42,LU5625,A32,3892,first_arrival,91439814,10-Jul-2023,-44813.53,
18-Mar-2022,11:49:42,VD8632,A32,8051,first_arrival,91439814,02-Jul-2022,-44813.53,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,23:27:12,HL9017,A32,0212,first_arrival,63385393,28-Dec-2022,-13094.38,
20-Mar-2022,23:27:12,NZ6254,A32,3359,first_arrival,63385393,08-Aug-2022,-13094.38,
20-Mar-2022,23:27:12,YH9888,A32,3443,first_arrival,63385393,11-Apr-2022,-13094.38,arrived safely
20-Mar-2022,23:27:12,FD4263,A32,7239,first_arrival,63385393,12-Aug-2022,-13094.38,arrived safely
20-Mar-2022,23:27:12,VB6896,A32,2350,first_arrival,63385393,22-Dec-2022,-13094.38,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,23:27:12,HX0467,A32,0502,first_arrival,63385393,20-Jun-2022,-13094.38,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,23:27:12,TD6405,A32,2565,first_arrival,63385393,12-Aug-2022,-13094.38,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,23:27:12,KJ9942,A32,2133,first_arrival,63385393,02-Aug-2022,-13094.38,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,23:27:12,OG8254,A32,8049,first_arrival,63385393,03-May-2023,-13094.38,arrived safely
23-Mar-2022,09:38:41,KE6588,C22,9866,first_arrival,91108714,02-May-2022,-85385.65,arrived safely
23-Mar-2022,09:38:41,EN0825,C22,1928,first_arrival,91108714,25-Mar-2023,-85385.65,arrived safely
23-Mar-2022,09:38:41,WH0152,C22,2185,first_arrival,91108714,20-Jun-2022,-85385.65,operation_cost = purchase_cost + delivery_cost
23-Mar-2022,09:38:41,DE1802,C22,6118,first_arrival,91108714,21-Apr-2022,-85385.65,arrived safely
23-Mar-2022,09:38:41,WY0387,C22,1660,first_arrival,91108714,07-Feb-2023,-85385.65,
23-Mar-2022,09:38:41,RQ0655,C22,4016,first_arrival,91108714,05-Apr-2023,-85385.65,
07-Apr-2022,10:22:11,DE1802,C22,6118,sale,91108714,21-Apr-2022,10288.90,
10-Apr-2022,09:16:15,VZ4635,A25,1947,first_arrival,03788360,08-Jul-2022,-84290.29,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,09:16:15,FQ9558,A25,4157,first_arrival,03788360,29-May-2022,-84290.29,
10-Apr-2022,09:16:15,GB6037,A25,1674,first_arrival,03788360,08-May-2022,-84290.29,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,09:16:15,SG4180,A25,2390,first_arrival,03788360,10-Jan-2023,-84290.29,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,09:16:15,TB0558,A25,4109,first_arrival,03788360,25-Jul-2022,-84290.29,arrived safely
10-Apr-2022,09:16:15,UP2404,A25,9783,first_arrival,03788360,22-Mar-2023,-84290.29,arrived safely
10-Apr-2022,09:16:15,SD8128,A25,7824,first_arrival,03788360,07-Jul-2022,-84290.29,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,09:16:15,PY6247,A25,1858,first_arrival,03788360,10-Sep-2022,-84290.29,arrived safely
10-Apr-2022,09:16:15,BX7507,A25,8907,first_arrival,03788360,27-May-2022,-84290.29,arrived safely
10-Apr-2022,09:16:15,OJ1857,A25,5089,first_arrival,03788360,17-Apr-2023,-84290.29,arrived safely
10-Apr-2022,09:16:15,PE1757,A25,8171,first_arrival,03788360,19-May-2022,-84290.29,
12-Apr-2022,14:51:30,EV0143,C22,5548,first_arrival,58084819,16-Nov-2022,-3742.21,operation_cost = purchase_cost + delivery_cost
14-Apr-2022,07:46:56,VB6896,A32,2350,sale,63385393,22-Dec-2022,24039.85,yay
15-Apr-2022,01:03:56,KE6588,B14,0504,move,75506763,02-May-2022,-204.02,necessary action
18-Apr-2022,19:36:07,PY6247,A39,4088,move,85348492,10-Sep-2022,-455.04,
19-Apr-2022,14:57:08,YH9888,B14,3430,move,68062327,11-Apr-2022,-246.61,necessary action
23-Apr-2022,15:08:00,UV7453,B3,6746,first_arrival,27456547,18-Jul-2023,-7281.19,
23-Apr-2022,15:08:00,OR1296,B3,8814,first_arrival,27456547,22-Oct-2022,-7281.19,arrived safely
25-Apr-2022,06:15:10,XE0619,A25,4754,first_arrival,77515130,28-Dec-2022,-49392.74,
25-Apr-2022,06:15:10,UQ5424,A25,1242,first_arrival,77515130,28-Feb-2023,-49392.74,
25-Apr-2022,06:15:10,ZH4016,A25,2137,first_arrival,77515130,22-Apr-2023,-49392.74,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,06:15:10,TH1686,A25,8317,first_arrival,77515130,13-Mar-2023,-49392.74,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,06:15:10,BP6118,A25,7231,first_arrival,77515130,12-Jul-2023,-49392.74,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,06:15:10,SM4756,A25,0098,first_arrival,77515130,07-Jun-2022,-49392.74,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,06:15:10,ZG4748,A25,0389,first_arrival,77515130,24-Jun-2023,-49392.74,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,06:15:10,LW6726,A25,7333,first_arrival,77515130,28-May-2022,-49392.74,operation_cost = purchase_cost + delivery_cost
25-Apr-2022,06:15:10,UL5010,A25,2607,first_arrival,77515130,31-Oct-2022,-49392.74,
