date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,23:48:54,LU8954,B3,5637,first_arrival,56511292,13-Oct-2022,-18803.29,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,23:48:54,JK2639,B3,7191,first_arrival,56511292,23-Apr-2023,-18803.29,
13-Feb-2022,23:48:54,OO0451,B3,4860,first_arrival,56511292,04-Mar-2022,-18803.29,
13-Feb-2022,23:48:54,LZ4084,B3,7832,first_arrival,56511292,29-Mar-2023,-18803.29,
13-Feb-2022,23:48:54,EY3095,B3,7120,first_arrival,56511292,23-Oct-2022,-18803.29,arrived safely
13-Feb-2022,23:48:54,XJ2663,B3,0727,first_arrival,56511292,26-Jul-2023,-18803.29,
13-Feb-2022,23:48:54,UZ8711,B3,3531,first_arrival,56511292,08-May-2023,-18803.29,arrived safely
26-Mar-2022,16:06:21,LU8954,B3,5637,sale,56511292,13-Oct-2022,23265.74,finally
30-Mar-2022,20:20:03,MJ4763,B14,4654,first_arrival,71064511,05-Nov-2022,-11297.64,
08-Apr-2022,12:09:06,XJ2663,A48,0477,move,58520735,26-Jul-2023,-257.85,necessary action
19-Apr-2022,08:13:58,RD0738,C22,1235,first_arrival,85888484,01-Jun-2022,-70721.59,
19-Apr-2022,08:13:58,JT4123,C22,8361,first_arrival,85888484,14-Jun-2023,-70721.59,arrived safely
19-Apr-2022,08:13:58,NE7343,C22,8836,first_arrival,85888484,14-Mar-2023,-70721.59,
19-Apr-2022,08:13:58,SF2817,C22,3230,first_arrival,85888484,05-Feb-2023,-70721.59,
19-Apr-2022,08:13:58,HP5186,C22,3148,first_arrival,85888484,11-Dec-2022,-70721.59,operation_cost = purchase_cost + delivery_cost
19-Apr-2022,08:13:58,JJ9895,C22,2785,first_arrival,85888484,12-Nov-2022,-70721.59,arrived safely
26-Apr-2022,03:05:52,MC3612,C22,2744,first_arrival,78588246,18-Dec-2022,-116373.63,operation_cost = purchase_cost + delivery_cost
26-Apr-2022,03:05:52,DF3472,C22,1224,first_arrival,78588246,21-Mar-2023,-116373.63,
26-Apr-2022,03:05:52,VV9466,C22,5426,first_arrival,78588246,14-Apr-2023,-116373.63,arrived safely
