date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,16:14:09,DX9291,B14,1722,first_arrival,72722533,25-Jun-2023,-96986.04,arrived safely
13-Feb-2022,16:14:09,JW1405,B14,0523,first_arrival,72722533,04-Dec-2022,-96986.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,16:14:09,VC2698,B14,5889,first_arrival,72722533,09-Mar-2023,-96986.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,16:14:09,EY2798,B14,8535,first_arrival,72722533,07-Jun-2023,-96986.04,
13-Feb-2022,16:14:09,KN8362,B14,4289,first_arrival,72722533,28-Jul-2022,-96986.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,16:14:09,BR8468,B14,4214,first_arrival,72722533,18-Sep-2022,-96986.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,16:14:09,HB2534,B14,8602,first_arrival,72722533,03-Apr-2022,-96986.04,
13-Feb-2022,16:14:09,FZ0288,B14,9585,first_arrival,72722533,17-Oct-2022,-96986.04,
13-Feb-2022,16:14:09,BW2351,B14,2630,first_arrival,72722533,21-Dec-2022,-96986.04,arrived safely
13-Feb-2022,16:14:09,OF9979,B14,1116,first_arrival,72722533,22-Jun-2022,-96986.04,
13-Feb-2022,16:14:09,KY8719,B14,4553,first_arrival,72722533,21-May-2022,-96986.04,
23-Feb-2022,02:23:23,QE0295,D5,9577,first_arrival,21028448,30-Apr-2022,-21680.63,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,02:23:23,GC5903,D5,0052,first_arrival,21028448,23-Dec-2022,-21680.63,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,02:23:23,PG7777,D5,6554,first_arrival,21028448,09-May-2022,-21680.63,arrived safely
23-Feb-2022,02:23:23,IE4328,D5,8940,first_arrival,21028448,01-Jun-2023,-21680.63,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,02:23:23,UO9109,D5,9167,first_arrival,21028448,20-May-2023,-21680.63,arrived safely
23-Feb-2022,02:23:23,AS3580,D5,4525,first_arrival,21028448,09-May-2022,-21680.63,arrived safely
23-Feb-2022,02:23:23,JS9676,D5,7061,first_arrival,21028448,14-Aug-2022,-21680.63,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,02:23:23,MK8643,D5,7335,first_arrival,21028448,10-Jun-2023,-21680.63,
24-Feb-2022,03:37:56,FZ0288,A39,9380,move,57738284,17-Oct-2022,-448.84,
27-Feb-2022,12:31:49,RH4851,C22,5191,first_arrival,28941126,14-Jul-2023,-27831.73,
27-Feb-2022,12:31:49,PM2786,C22,8472,first_arrival,28941126,03-Apr-2023,-27831.73,arrived safely
27-Feb-2022,12:31:49,XD7051,C22,9909,first_arrival,28941126,27-Dec-2022,-27831.73,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,12:31:49,XH2494,C22,0548,first_arrival,28941126,30-May-2023,-27831.73,arrived safely
27-Feb-2022,12:31:49,JD4354,C22,7584,first_arrival,28941126,28-Dec-2022,-27831.73,
27-Feb-2022,12:31:49,BO2210,C22,3233,first_arrival,28941126,27-Feb-2023,-27831.73,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,12:31:49,DM8479,C22,6614,first_arrival,28941126,01-Oct-2022,-27831.73,
27-Feb-2022,12:31:49,JY0464,C22,1542,first_arrival,28941126,14-Jun-2022,-27831.73,arrived safely
27-Feb-2022,12:31:49,OL1676,C22,8767,first_arrival,28941126,03-Jul-2022,-27831.73,operation_cost = purchase_cost + delivery_cost
27-Feb-2022,12:31:49,EM4790,C22,3081,first_arrival,28941126,28-May-2023,-27831.73,arrived safely
08-Mar-2022,14:37:19,QJ5883,A32,0287,first_arrival,65269292,18-Jul-2023,-18918.90,arrived safely
14-Mar-2022,22:52:30,YS9154,D44,2245,first_arrival,31051567,01-Jun-2022,-125651.78,operation_cost = purchase_cost + delivery_cost
14-Mar-2022,22:52:30,TM7492,D44,6728,first_arrival,31051567,11-Mar-2023,-125651.78,operation_cost = purchase_cost + delivery_cost
14-Mar-2022,22:52:30,UJ4176,D44,1491,first_arrival,31051567,10-Mar-2023,-125651.78,arrived safely
14-Mar-2022,22:52:30,YA1373,D44,4689,first_arrival,31051567,23-Jul-2023,-125651.78,operation_cost = purchase_cost + delivery_cost
14-Mar-2022,22:52:30,PZ3743,D44,1372,first_arrival,31051567,14-Aug-2022,-125651.78,arrived safely
14-Mar-2022,22:52:30,WW1751,D44,5653,first_arrival,31051567,12-Apr-2022,-125651.78,
14-Mar-2022,22:52:30,QG8750,D44,7550,first_arrival,31051567,13-Jun-2023,-125651.78,operation_cost = purchase_cost + delivery_cost
14-Mar-2022,22:52:30,CD9126,D44,5830,first_arrival,31051567,30-Jun-2022,-125651.78,arrived safely
01-Apr-2022,02:19:17,QG8750,A32,3751,move,01501478,13-Jun-2023,-198.67,necessary action
02-Apr-2022,06:43:10,UW0654,A25,3822,first_arrival,91249742,27-Jun-2022,-29866.36,
02-Apr-2022,06:43:10,TR4911,A25,7351,first_arrival,91249742,27-Mar-2023,-29866.36,operation_cost = purchase_cost + delivery_cost
05-Apr-2022,05:45:13,PM2786,B14,8231,move,48374143,03-Apr-2023,-274.02,moving PM2786 from C22:8472 to B14:8231 under 48374143 invoice
10-Apr-2022,07:18:15,XH2494,A32,7374,move,50039442,30-May-2023,-447.94,necessary action
11-Apr-2022,14:58:53,KY8719,B14,4553,sale,72722533,21-May-2022,16687.39,
14-Apr-2022,16:49:35,SM1298,C22,2840,first_arrival,49919250,16-Aug-2022,-141717.36,operation_cost = purchase_cost + delivery_cost
14-Apr-2022,16:49:35,QK7240,C22,7161,first_arrival,49919250,18-Dec-2022,-141717.36,
14-Apr-2022,16:49:35,WW3867,C22,8698,first_arrival,49919250,22-Aug-2022,-141717.36,
14-Apr-2022,16:49:35,KY6368,C22,0871,first_arrival,49919250,22-Jul-2022,-141717.36,
14-Apr-2022,16:49:35,TS3038,C22,4503,first_arrival,49919250,15-Mar-2023,-141717.36,operation_cost = purchase_cost + delivery_cost
14-Apr-2022,16:49:35,SU3182,C22,1999,first_arrival,49919250,29-Jan-2023,-141717.36,arrived safely
14-Apr-2022,16:49:35,SR3319,C22,2066,first_arrival,49919250,23-Dec-2022,-141717.36,arrived safely
14-Apr-2022,16:49:35,IS3460,C22,1965,first_arrival,49919250,30-May-2023,-141717.36,operation_cost = purchase_cost + delivery_cost
14-Apr-2022,16:49:35,JU0306,C22,0556,first_arrival,49919250,13-May-2023,-141717.36,
15-Apr-2022,08:19:44,FZ0288,A48,7048,move,59055595,17-Oct-2022,-426.75,
17-Apr-2022,07:19:43,KY6368,B14,3027,move,02161641,22-Jul-2022,-267.21,moving KY6368 from C22:0871 to B14:3027 under 02161641 invoice
23-Apr-2022,00:17:55,JG0362,D44,4930,first_arrival,10066523,02-Sep-2022,-115389.19,operation_cost = purchase_cost + delivery_cost
23-Apr-2022,00:17:55,VD6716,D44,1420,first_arrival,10066523,13-Feb-2023,-115389.19,operation_cost = purchase_cost + delivery_cost
23-Apr-2022,00:17:55,ST3171,D44,5601,first_arrival,10066523,18-Nov-2022,-115389.19,arrived safely
23-Apr-2022,00:17:55,DV8536,D44,1684,first_arrival,10066523,14-May-2022,-115389.19,
23-Apr-2022,00:17:55,AR4446,D44,7047,first_arrival,10066523,02-Nov-2022,-115389.19,
23-Apr-2022,00:17:55,ZK7121,D44,6675,first_arrival,10066523,29-Mar-2023,-115389.19,
23-Apr-2022,00:17:55,SY1718,D44,9121,first_arrival,10066523,30-May-2022,-115389.19,
23-Apr-2022,00:17:55,RJ5082,D44,2228,first_arrival,10066523,31-Aug-2022,-115389.19,operation_cost = purchase_cost + delivery_cost
23-Apr-2022,00:17:55,CA1114,D44,1339,first_arrival,10066523,25-Feb-2023,-115389.19,arrived safely
23-Apr-2022,00:17:55,MW5876,D44,6763,first_arrival,10066523,19-Jun-2022,-115389.19,
23-Apr-2022,00:17:55,YF3325,D44,7927,first_arrival,10066523,29-Aug-2022,-115389.19,
30-Apr-2022,01:09:16,TF9487,B3,3767,first_arrival,47031893,27-Sep-2022,-15494.65,arrived safely
03-May-2022,14:56:20,QK7240,C22,7161,sale,49919250,18-Dec-2022,1826.62,
08-May-2022,12:05:28,EM4790,A32,6560,move,61878287,28-May-2023,-436.62,moving EM4790 from C22:3081 to A32:6560 under 61878287 invoice
10-May-2022,09:31:31,XD7051,C22,9909,sale,28941126,27-Dec-2022,12033.31,
12-May-2022,17:12:43,CX8324,A25,7863,first_arrival,23269649,07-Oct-2022,-6662.87,
16-May-2022,20:00:37,RJ5082,A48,9062,move,12234953,31-Aug-2022,-399.83,moving RJ5082 from D44:2228 to A48:9062 under 12234953 invoice
19-May-2022,11:11:37,KW2048,C22,0146,first_arrival,36147425,03-Nov-2022,-104239.92,operation_cost = purchase_cost + delivery_cost
19-May-2022,11:11:37,RY3250,C22,0102,first_arrival,36147425,17-Oct-2022,-104239.92,arrived safely
19-May-2022,11:11:37,EZ2233,C22,8944,first_arrival,36147425,02-Jul-2023,-104239.92,arrived safely
19-May-2022,11:11:37,WO0090,C22,8851,first_arrival,36147425,21-Feb-2023,-104239.92,
19-May-2022,11:11:37,DB5329,C22,0846,first_arrival,36147425,03-Jul-2023,-104239.92,operation_cost = purchase_cost + delivery_cost
19-May-2022,11:11:37,YZ6839,C22,5160,first_arrival,36147425,14-Jun-2022,-104239.92,arrived safely
19-May-2022,11:11:37,JD5772,C22,8258,first_arrival,36147425,07-Nov-2022,-104239.92,operation_cost = purchase_cost + delivery_cost
19-May-2022,11:11:37,DB7752,C22,7013,first_arrival,36147425,30-May-2022,-104239.92,operation_cost = purchase_cost + delivery_cost
19-May-2022,11:11:37,UK6596,C22,5941,first_arrival,36147425,28-Aug-2022,-104239.92,operation_cost = purchase_cost + delivery_cost
27-May-2022,02:31:06,EF2674,A25,2112,first_arrival,17685933,23-Feb-2023,-31511.87,arrived safely
27-May-2022,02:31:06,RP7915,A25,5535,first_arrival,17685933,19-Jan-2023,-31511.87,
27-May-2022,02:31:06,OO1573,A25,1931,first_arrival,17685933,20-Aug-2022,-31511.87,operation_cost = purchase_cost + delivery_cost
30-May-2022,12:15:35,UJ4176,D44,1491,sale,31051567,10-Mar-2023,21010.84,yay
11-Jun-2022,01:50:09,VE4354,A48,1740,first_arrival,08358604,11-Mar-2023,-4201.53,operation_cost = purchase_cost + delivery_cost
11-Jun-2022,01:50:09,YW5185,A48,0091,first_arrival,08358604,24-Sep-2022,-4201.53,operation_cost = purchase_cost + delivery_cost
11-Jun-2022,01:50:09,CC0418,A48,3717,first_arrival,08358604,29-Oct-2022,-4201.53,operation_cost = purchase_cost + delivery_cost
11-Jun-2022,01:50:09,MF8521,A48,9889,first_arrival,08358604,22-Nov-2022,-4201.53,arrived safely
11-Jun-2022,01:50:09,IF0440,A48,9494,first_arrival,08358604,08-Aug-2023,-4201.53,operation_cost = purchase_cost + delivery_cost
11-Jun-2022,01:50:09,OZ9849,A48,1288,first_arrival,08358604,25-Sep-2022,-4201.53,
11-Jun-2022,01:50:09,UE4036,A48,6766,first_arrival,08358604,30-Aug-2022,-4201.53,
11-Jun-2022,01:50:09,YV8443,A48,9486,first_arrival,08358604,09-Jun-2023,-4201.53,arrived safely
11-Jun-2022,01:50:09,WP3619,A48,1517,first_arrival,08358604,15-May-2023,-4201.53,arrived safely
11-Jun-2022,01:50:09,QB6927,A48,3549,first_arrival,08358604,07-Jul-2023,-4201.53,operation_cost = purchase_cost + delivery_cost
11-Jun-2022,01:50:09,KV8572,A48,1381,first_arrival,08358604,27-Jul-2022,-4201.53,operation_cost = purchase_cost + delivery_cost
18-Jun-2022,16:57:40,MF8521,D44,1526,move,39418940,22-Nov-2022,-275.98,moving MF8521 from A48:9889 to D44:1526 under 39418940 invoice
25-Jun-2022,04:33:12,UO9109,A48,0796,move,20322727,20-May-2023,-400.01,necessary action
26-Jun-2022,00:15:35,HB2534,C22,7413,move,28903395,03-Apr-2022,-497.27,moving HB2534 from B14:8602 to C22:7413 under 28903395 invoice
26-Jun-2022,08:02:07,UE4036,A25,1577,move,12486978,30-Aug-2022,-188.63,necessary action
27-Jun-2022,14:10:42,SU3182,C22,1999,sale,49919250,29-Jan-2023,14605.04,
29-Jun-2022,16:27:37,FZ0288,B14,3516,move,10883480,17-Oct-2022,-370.61,necessary action
03-Jul-2022,05:21:11,JS9676,B3,5445,move,78715685,14-Aug-2022,-165.62,
03-Jul-2022,23:15:11,WP3619,D44,2193,move,28462461,15-May-2023,-272.82,
07-Jul-2022,10:59:43,AF1879,B14,6041,first_arrival,39665665,17-Apr-2023,-28224.98,operation_cost = purchase_cost + delivery_cost
07-Jul-2022,10:59:43,IS1824,B14,1193,first_arrival,39665665,30-Jul-2022,-28224.98,
