date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
16-Feb-2022,21:01:50,NI3607,D44,0653,first_arrival,17055750,02-Apr-2022,-48584.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,21:01:50,FF1333,D44,0608,first_arrival,17055750,04-Mar-2022,-48584.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,21:01:50,UF4939,D44,8216,first_arrival,17055750,04-Apr-2023,-48584.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,21:01:50,DJ8829,D44,2922,first_arrival,17055750,17-Jun-2023,-48584.68,operation_cost = purchase_cost + delivery_cost
26-Feb-2022,05:49:24,WQ0396,A32,4980,first_arrival,40379128,25-May-2023,-14837.83,arrived safely
01-Mar-2022,14:56:51,CY7557,A25,5450,first_arrival,22375224,16-Jul-2023,-46696.04,operation_cost = purchase_cost + delivery_cost
01-Mar-2022,14:56:51,JA7884,A25,1898,first_arrival,22375224,08-May-2023,-46696.04,operation_cost = purchase_cost + delivery_cost
01-Mar-2022,14:56:51,MD8832,A25,4253,first_arrival,22375224,19-Jun-2022,-46696.04,
01-Mar-2022,14:56:51,KT0790,A25,6803,first_arrival,22375224,05-Apr-2022,-46696.04,operation_cost = purchase_cost + delivery_cost
01-Mar-2022,14:56:51,JP5675,A25,2296,first_arrival,22375224,12-Jun-2022,-46696.04,arrived safely
01-Mar-2022,14:56:51,ZM3221,A25,4235,first_arrival,22375224,26-Nov-2022,-46696.04,arrived safely
01-Mar-2022,14:56:51,IH7095,A25,7971,first_arrival,22375224,27-May-2023,-46696.04,arrived safely
05-Mar-2022,13:59:30,XQ1423,A39,4372,first_arrival,83526272,25-Dec-2022,-18593.47,arrived safely
05-Mar-2022,13:59:30,KY1786,A39,7409,first_arrival,83526272,13-Jan-2023,-18593.47,
05-Mar-2022,18:30:44,ZM3221,C22,2636,move,59383578,26-Nov-2022,-379.41,moving ZM3221 from A25:4235 to C22:2636 under 59383578 invoice
11-Mar-2022,13:14:09,UF4939,C22,2053,move,75653399,04-Apr-2023,-370.72,
14-Mar-2022,05:14:18,MM7953,B3,2144,first_arrival,01386476,10-Jul-2023,-42920.18,
14-Mar-2022,05:14:18,CB4353,B3,7284,first_arrival,01386476,28-Jun-2023,-42920.18,
14-Mar-2022,05:14:18,MI6734,B3,3597,first_arrival,01386476,25-May-2023,-42920.18,
14-Mar-2022,05:14:18,KM3993,B3,8823,first_arrival,01386476,16-Jun-2023,-42920.18,arrived safely
14-Mar-2022,05:14:18,HJ5367,B3,8452,first_arrival,01386476,29-May-2022,-42920.18,arrived safely
14-Mar-2022,05:14:18,YG5782,B3,0536,first_arrival,01386476,18-Feb-2023,-42920.18,arrived safely
14-Mar-2022,05:14:18,KT5301,B3,8482,first_arrival,01386476,28-Feb-2023,-42920.18,operation_cost = purchase_cost + delivery_cost
22-Mar-2022,09:16:26,SQ7504,A39,6788,first_arrival,36567117,09-Jul-2022,-50097.39,arrived safely
22-Mar-2022,09:16:26,CO3963,A39,9172,first_arrival,36567117,09-Aug-2022,-50097.39,
22-Mar-2022,09:16:26,EI0412,A39,0061,first_arrival,36567117,03-Aug-2022,-50097.39,operation_cost = purchase_cost + delivery_cost
22-Mar-2022,09:16:26,MC5345,A39,8325,first_arrival,36567117,04-Jun-2023,-50097.39,arrived safely
22-Mar-2022,09:16:26,FJ3945,A39,1096,first_arrival,36567117,08-Mar-2023,-50097.39,
22-Mar-2022,09:16:26,RH8048,A39,7051,first_arrival,36567117,29-Jun-2022,-50097.39,arrived safely
22-Mar-2022,09:16:26,HT0623,A39,0333,first_arrival,36567117,23-Nov-2022,-50097.39,arrived safely
22-Mar-2022,09:16:26,TC3449,A39,6780,first_arrival,36567117,12-Jul-2023,-50097.39,
22-Mar-2022,09:16:26,ZM6066,A39,0307,first_arrival,36567117,13-Aug-2022,-50097.39,arrived safely
22-Mar-2022,09:16:26,VP1365,A39,3151,first_arrival,36567117,10-Apr-2023,-50097.39,operation_cost = purchase_cost + delivery_cost
22-Mar-2022,09:16:26,RF0748,A39,4837,first_arrival,36567117,08-Aug-2022,-50097.39,
22-Mar-2022,09:16:26,CE7907,A39,9610,first_arrival,36567117,01-May-2022,-50097.39,arrived safely
27-Mar-2022,14:54:28,OE8325,D44,6973,first_arrival,84641682,09-Oct-2022,-4650.48,operation_cost = purchase_cost + delivery_cost
27-Mar-2022,14:54:28,SM1048,D44,1634,first_arrival,84641682,05-May-2022,-4650.48,
27-Mar-2022,14:54:28,ZJ6769,D44,3955,first_arrival,84641682,23-Jun-2023,-4650.48,operation_cost = purchase_cost + delivery_cost
27-Mar-2022,14:54:28,TQ0144,D44,5979,first_arrival,84641682,02-Jun-2023,-4650.48,
06-Apr-2022,21:12:02,ZR2215,C22,1026,first_arrival,91868806,29-Jul-2023,-64073.95,
06-Apr-2022,21:12:02,SR2047,C22,3138,first_arrival,91868806,13-Oct-2022,-64073.95,arrived safely
06-Apr-2022,21:12:02,IG9513,C22,7186,first_arrival,91868806,25-Mar-2023,-64073.95,operation_cost = purchase_cost + delivery_cost
06-Apr-2022,21:12:02,XM7829,C22,7868,first_arrival,91868806,01-Jul-2022,-64073.95,operation_cost = purchase_cost + delivery_cost
06-Apr-2022,21:12:02,LD8958,C22,0329,first_arrival,91868806,06-Feb-2023,-64073.95,
08-Apr-2022,02:52:17,VE0041,D5,8850,first_arrival,68193958,10-Sep-2022,-1706.38,
08-Apr-2022,02:52:17,QN7080,D5,1708,first_arrival,68193958,15-May-2022,-1706.38,
08-Apr-2022,02:52:17,IN2655,D5,1602,first_arrival,68193958,27-May-2023,-1706.38,arrived safely
08-Apr-2022,02:52:17,CV9267,D5,1414,first_arrival,68193958,03-Jan-2023,-1706.38,
08-Apr-2022,02:52:17,GG3964,D5,2532,first_arrival,68193958,11-Jun-2022,-1706.38,arrived safely
08-Apr-2022,02:52:17,AT3202,D5,3753,first_arrival,68193958,05-May-2022,-1706.38,operation_cost = purchase_cost + delivery_cost
08-Apr-2022,02:52:17,YU0596,D5,2566,first_arrival,68193958,21-Sep-2022,-1706.38,operation_cost = purchase_cost + delivery_cost
08-Apr-2022,02:52:17,NC8486,D5,5796,first_arrival,68193958,19-Nov-2022,-1706.38,operation_cost = purchase_cost + delivery_cost
08-Apr-2022,02:52:17,WO8650,D5,1757,first_arrival,68193958,29-Jun-2022,-1706.38,arrived safely
13-Apr-2022,21:39:12,ZJ6769,A39,7483,move,63183087,23-Jun-2023,-359.16,moving ZJ6769 from D44:3955 to A39:7483 under 63183087 invoice
15-Apr-2022,22:28:31,CE7907,A48,2240,move,47648598,01-May-2022,-287.55,moving CE7907 from A39:9610 to A48:2240 under 47648598 invoice
16-Apr-2022,01:12:51,QN7080,D5,1708,sale,68193958,15-May-2022,19415.59,
22-Apr-2022,13:51:56,OX2708,D5,0833,first_arrival,98874248,11-May-2023,-372.15,
23-Apr-2022,11:07:24,HU8805,B14,5101,first_arrival,04143400,10-Nov-2022,-86047.07,arrived safely
