date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,06:02:52,GS3448,D44,3168,first_arrival,89652168,06-Dec-2022,-45932.83,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,06:02:52,IY7483,D44,3016,first_arrival,89652168,26-Mar-2022,-45932.83,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,06:02:52,FQ4411,D44,9053,first_arrival,89652168,20-Jan-2023,-45932.83,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,09:30:29,MK5234,D5,4123,first_arrival,42902188,14-Jul-2023,-159152.33,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,09:30:29,QN2786,D5,7009,first_arrival,42902188,05-Oct-2022,-159152.33,arrived safely
16-Feb-2022,09:30:29,UT5640,D5,7244,first_arrival,42902188,24-Oct-2022,-159152.33,
16-Feb-2022,09:30:29,HL3018,D5,7613,first_arrival,42902188,23-Jun-2023,-159152.33,arrived safely
16-Feb-2022,09:30:29,BV9454,D5,8268,first_arrival,42902188,04-May-2022,-159152.33,
16-Feb-2022,09:30:29,VP9119,D5,7055,first_arrival,42902188,18-Mar-2023,-159152.33,arrived safely
16-Feb-2022,09:30:29,JC7937,D5,3195,first_arrival,42902188,21-Aug-2022,-159152.33,arrived safely
16-Feb-2022,09:30:29,QR8079,D5,3254,first_arrival,42902188,26-Jul-2022,-159152.33,arrived safely
19-Feb-2022,03:48:14,MI3309,D5,7616,first_arrival,33104274,05-Jan-2023,-3621.58,
25-Feb-2022,15:10:12,ES3267,A25,8020,first_arrival,64252837,17-Apr-2023,-8261.34,
06-Mar-2022,19:09:04,FJ2531,B14,7218,first_arrival,35709058,10-Jan-2023,-81501.49,
06-Mar-2022,19:09:04,NB0964,B14,4139,first_arrival,35709058,24-Jun-2023,-81501.49,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,19:09:04,VP0244,B14,3975,first_arrival,35709058,13-Mar-2023,-81501.49,
06-Mar-2022,19:09:04,RI6792,B14,9626,first_arrival,35709058,13-May-2023,-81501.49,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,19:09:04,FP6339,B14,3911,first_arrival,35709058,01-Jun-2023,-81501.49,
06-Mar-2022,19:09:04,JJ0912,B14,1897,first_arrival,35709058,31-May-2023,-81501.49,arrived safely
06-Mar-2022,19:09:04,IT8559,B14,6314,first_arrival,35709058,31-Jan-2023,-81501.49,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,19:09:04,IH5093,B14,8221,first_arrival,35709058,22-Oct-2022,-81501.49,
06-Mar-2022,19:09:04,NR1793,B14,2606,first_arrival,35709058,07-Jan-2023,-81501.49,arrived safely
06-Mar-2022,19:09:04,AB6649,B14,1149,first_arrival,35709058,28-Jan-2023,-81501.49,
06-Mar-2022,19:09:04,NO8711,B14,9138,first_arrival,35709058,10-Jun-2023,-81501.49,
10-Mar-2022,17:35:32,NO8711,B14,9138,sale,35709058,10-Jun-2023,12149.56,yay
17-Mar-2022,23:44:15,PE6537,A48,3066,first_arrival,60815915,24-Dec-2022,-875.05,
17-Mar-2022,23:44:15,SP1930,A48,7275,first_arrival,60815915,20-Jun-2023,-875.05,operation_cost = purchase_cost + delivery_cost
17-Mar-2022,23:44:15,HU5726,A48,7080,first_arrival,60815915,02-Jul-2022,-875.05,arrived safely
20-Mar-2022,04:27:21,IT8559,B14,6314,sale,35709058,31-Jan-2023,9076.94,
02-Apr-2022,15:41:10,QR8079,B3,4751,move,69424533,26-Jul-2022,-333.02,moving QR8079 from D5:3254 to B3:4751 under 69424533 invoice
19-Apr-2022,23:59:07,RD8737,D5,9066,first_arrival,48296376,05-Oct-2022,-162892.63,
19-Apr-2022,23:59:07,GO6663,D5,3183,first_arrival,48296376,24-Aug-2022,-162892.63,operation_cost = purchase_cost + delivery_cost
19-Apr-2022,23:59:07,BJ9937,D5,4099,first_arrival,48296376,26-May-2022,-162892.63,arrived safely
19-Apr-2022,23:59:07,RL1070,D5,1974,first_arrival,48296376,26-Mar-2023,-162892.63,arrived safely
19-Apr-2022,23:59:07,DX1912,D5,9170,first_arrival,48296376,11-Jun-2023,-162892.63,arrived safely
19-Apr-2022,23:59:07,RM5838,D5,8512,first_arrival,48296376,24-Oct-2022,-162892.63,
19-Apr-2022,23:59:07,ON7227,D5,4679,first_arrival,48296376,03-May-2022,-162892.63,arrived safely
19-Apr-2022,23:59:07,DG6213,D5,1218,first_arrival,48296376,28-Aug-2022,-162892.63,operation_cost = purchase_cost + delivery_cost
