date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
23-Feb-2022,08:06:09,GD3763,D5,3835,first_arrival,06267193,30-Jul-2022,-35806.23,arrived safely
23-Feb-2022,08:06:09,CA2541,D5,1067,first_arrival,06267193,16-Jun-2023,-35806.23,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,08:06:09,TG4373,D5,3098,first_arrival,06267193,12-Jun-2022,-35806.23,arrived safely
23-Feb-2022,08:06:09,YI5592,D5,6935,first_arrival,06267193,14-Aug-2022,-35806.23,arrived safely
23-Feb-2022,08:06:09,YB6189,D5,9199,first_arrival,06267193,30-Apr-2022,-35806.23,operation_cost = purchase_cost + delivery_cost
03-Mar-2022,02:56:26,OA8618,B3,0135,first_arrival,32225167,13-Mar-2022,-10465.16,arrived safely
03-Mar-2022,02:56:26,AW3809,B3,3841,first_arrival,32225167,24-Mar-2022,-10465.16,operation_cost = purchase_cost + delivery_cost
12-Mar-2022,10:34:42,KI2395,C22,9967,first_arrival,42142985,26-Sep-2022,-71203.04,
12-Mar-2022,10:34:42,HE3177,C22,4465,first_arrival,42142985,11-Dec-2022,-71203.04,operation_cost = purchase_cost + delivery_cost
12-Mar-2022,10:34:42,MT1436,C22,9885,first_arrival,42142985,06-Jul-2022,-71203.04,
12-Mar-2022,10:34:42,BR7603,C22,6540,first_arrival,42142985,24-Mar-2023,-71203.04,operation_cost = purchase_cost + delivery_cost
12-Mar-2022,17:30:46,CA2541,C22,9356,move,01689226,16-Jun-2023,-169.36,necessary action
23-Mar-2022,08:15:37,LF8946,A32,4039,first_arrival,63036983,12-May-2023,-68613.01,operation_cost = purchase_cost + delivery_cost
23-Mar-2022,08:15:37,QD1610,A32,2309,first_arrival,63036983,03-Oct-2022,-68613.01,
23-Mar-2022,08:15:37,AT1720,A32,6639,first_arrival,63036983,23-Jul-2022,-68613.01,
23-Mar-2022,08:15:37,WQ4667,A32,2445,first_arrival,63036983,15-Dec-2022,-68613.01,arrived safely
23-Mar-2022,08:15:37,OU1032,A32,6662,first_arrival,63036983,06-Apr-2023,-68613.01,
23-Mar-2022,08:15:37,AC1463,A32,0729,first_arrival,63036983,06-Dec-2022,-68613.01,arrived safely
23-Mar-2022,08:15:37,BW2052,A32,3947,first_arrival,63036983,30-Jul-2022,-68613.01,
23-Mar-2022,08:15:37,YA9911,A32,9368,first_arrival,63036983,11-May-2023,-68613.01,arrived safely
23-Mar-2022,08:15:37,LK1005,A32,3779,first_arrival,63036983,16-Aug-2022,-68613.01,operation_cost = purchase_cost + delivery_cost
28-Mar-2022,07:42:45,OU1032,B3,2979,move,54937891,06-Apr-2023,-450.67,moving OU1032 from A32:6662 to B3:2979 under 54937891 invoice
30-Mar-2022,05:30:34,AZ8707,B14,9422,first_arrival,08672181,05-Mar-2023,-34963.44,
30-Mar-2022,05:30:34,ZA0736,B14,8063,first_arrival,08672181,08-Apr-2022,-34963.44,arrived safely
30-Mar-2022,05:30:34,DN8997,B14,8012,first_arrival,08672181,26-Apr-2023,-34963.44,
30-Mar-2022,05:30:34,GX9931,B14,1287,first_arrival,08672181,12-Feb-2023,-34963.44,operation_cost = purchase_cost + delivery_cost
30-Mar-2022,05:30:34,BF7231,B14,5583,first_arrival,08672181,29-Dec-2022,-34963.44,
30-Mar-2022,05:30:34,AK7607,B14,9470,first_arrival,08672181,04-Jul-2022,-34963.44,
30-Mar-2022,05:30:34,OY8031,B14,8037,first_arrival,08672181,03-Dec-2022,-34963.44,arrived safely
03-Apr-2022,23:56:15,TG4373,D5,3098,sale,06267193,12-Jun-2022,23863.69,yay
10-Apr-2022,13:35:50,IR6901,A32,2194,first_arrival,72310328,29-Jul-2022,-156926.46,arrived safely
10-Apr-2022,13:35:50,IL5494,A32,8687,first_arrival,72310328,22-Dec-2022,-156926.46,arrived safely
10-Apr-2022,13:35:50,CM9222,A32,6491,first_arrival,72310328,11-Dec-2022,-156926.46,arrived safely
10-Apr-2022,13:35:50,GF8176,A32,9177,first_arrival,72310328,27-May-2023,-156926.46,
10-Apr-2022,13:35:50,LE5560,A32,2275,first_arrival,72310328,25-Oct-2022,-156926.46,
10-Apr-2022,13:35:50,EN7740,A32,4542,first_arrival,72310328,15-Jul-2023,-156926.46,
10-Apr-2022,13:35:50,VI1002,A32,0451,first_arrival,72310328,08-Oct-2022,-156926.46,
