date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,09:29:56,TY7581,C22,2468,first_arrival,80121336,11-Aug-2022,-109693.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,09:29:56,AZ9482,C22,6335,first_arrival,80121336,12-Dec-2022,-109693.04,arrived safely
13-Feb-2022,09:29:56,AR2879,C22,4941,first_arrival,80121336,25-May-2023,-109693.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,09:29:56,XG4863,C22,6974,first_arrival,80121336,21-Aug-2022,-109693.04,arrived safely
13-Feb-2022,09:29:56,PJ5973,C22,6829,first_arrival,80121336,09-Apr-2022,-109693.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,09:29:56,OB8905,C22,9132,first_arrival,80121336,02-Aug-2022,-109693.04,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,09:29:56,XX2110,C22,6938,first_arrival,80121336,19-Feb-2023,-109693.04,
13-Feb-2022,09:29:56,SA4646,C22,3418,first_arrival,80121336,04-Apr-2022,-109693.04,
13-Feb-2022,09:29:56,CS0283,C22,8035,first_arrival,80121336,24-May-2023,-109693.04,
13-Feb-2022,09:29:56,FX2468,C22,1465,first_arrival,80121336,16-Oct-2022,-109693.04,arrived safely
20-Feb-2022,08:21:38,OA1518,A25,3891,first_arrival,34357503,11-Aug-2022,-44517.18,
20-Feb-2022,08:21:38,SA4722,A25,2578,first_arrival,34357503,21-Apr-2023,-44517.18,arrived safely
20-Feb-2022,08:21:38,EG0997,A25,7291,first_arrival,34357503,01-Aug-2022,-44517.18,
20-Feb-2022,08:21:38,QD6005,A25,2698,first_arrival,34357503,23-Mar-2022,-44517.18,
20-Feb-2022,08:21:38,DN1213,A25,8089,first_arrival,34357503,13-Apr-2022,-44517.18,
20-Feb-2022,08:21:38,EX1435,A25,7866,first_arrival,34357503,11-May-2022,-44517.18,operation_cost = purchase_cost + delivery_cost
20-Feb-2022,08:21:38,JK7718,A25,8807,first_arrival,34357503,10-Apr-2022,-44517.18,
20-Feb-2022,08:21:38,YD8862,A25,7469,first_arrival,34357503,09-Aug-2023,-44517.18,
25-Feb-2022,08:35:34,UA6207,B3,6175,first_arrival,16339986,10-Sep-2022,-32524.60,operation_cost = purchase_cost + delivery_cost
25-Feb-2022,08:35:34,AZ5952,B3,1396,first_arrival,16339986,13-Jul-2023,-32524.60,operation_cost = purchase_cost + delivery_cost
25-Feb-2022,08:35:34,PY3745,B3,4118,first_arrival,16339986,25-May-2022,-32524.60,arrived safely
25-Feb-2022,19:55:19,JK7718,A48,8946,move,17120895,10-Apr-2022,-431.99,necessary action
02-Mar-2022,04:56:31,QT4246,C22,5655,first_arrival,04144947,24-Dec-2022,-53510.85,
02-Mar-2022,04:56:31,TA7916,C22,4510,first_arrival,04144947,14-May-2022,-53510.85,
02-Mar-2022,04:56:31,DT8270,C22,3172,first_arrival,04144947,17-Jul-2022,-53510.85,
03-Mar-2022,12:57:15,ZZ6989,B3,3553,first_arrival,22504172,27-Mar-2023,-63118.59,arrived safely
