date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
22-Feb-2022,15:17:01,UK0310,A39,2724,first_arrival,84506406,22-Aug-2022,-51468.48,operation_cost = purchase_cost + delivery_cost
22-Feb-2022,15:17:01,SJ8255,A39,5744,first_arrival,84506406,10-Aug-2023,-51468.48,arrived safely
22-Feb-2022,15:17:01,BA3305,A39,6872,first_arrival,84506406,14-Jan-2023,-51468.48,operation_cost = purchase_cost + delivery_cost
22-Feb-2022,15:17:01,XR2659,A39,0441,first_arrival,84506406,21-May-2023,-51468.48,arrived safely
22-Feb-2022,15:17:01,RH7362,A39,5723,first_arrival,84506406,09-Apr-2022,-51468.48,operation_cost = purchase_cost + delivery_cost
22-Feb-2022,15:17:01,KL8302,A39,9441,first_arrival,84506406,23-Apr-2022,-51468.48,
22-Feb-2022,15:17:01,UP7702,A39,7695,first_arrival,84506406,03-Jun-2022,-51468.48,
22-Feb-2022,15:17:01,AL1399,A39,1519,first_arrival,84506406,22-Jul-2023,-51468.48,arrived safely
22-Feb-2022,15:17:01,WQ1213,A39,3276,first_arrival,84506406,23-Jun-2023,-51468.48,operation_cost = purchase_cost + delivery_cost
22-Feb-2022,15:17:01,QG4557,A39,8214,first_arrival,84506406,15-Mar-2022,-51468.48,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,05:21:52,HH0964,C22,3412,first_arrival,30107476,07-Jul-2022,-124022.04,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,05:21:52,QZ2805,C22,2368,first_arrival,30107476,05-Sep-2022,-124022.04,arrived safely
06-Mar-2022,05:21:52,OW1896,C22,5075,first_arrival,30107476,23-Jul-2022,-124022.04,
06-Mar-2022,05:21:52,BK0095,C22,9846,first_arrival,30107476,29-Mar-2023,-124022.04,arrived safely
06-Mar-2022,05:21:52,ZJ7814,C22,1427,first_arrival,30107476,13-Dec-2022,-124022.04,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,05:21:52,BS2000,C22,7788,first_arrival,30107476,02-Jan-2023,-124022.04,
06-Mar-2022,05:21:52,LI0383,C22,8327,first_arrival,30107476,01-Jul-2023,-124022.04,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,05:21:52,OO8580,C22,9017,first_arrival,30107476,28-Apr-2023,-124022.04,
