date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
18-Feb-2022,02:37:37,VY6479,D44,4446,first_arrival,87596494,26-Dec-2022,-93107.65,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,02:37:37,QE7768,D44,5956,first_arrival,87596494,29-Sep-2022,-93107.65,
18-Feb-2022,02:37:37,MM4779,D44,2576,first_arrival,87596494,04-Sep-2022,-93107.65,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,02:37:37,FC8340,D44,2295,first_arrival,87596494,03-Mar-2022,-93107.65,arrived safely
18-Feb-2022,02:37:37,VW1547,D44,9265,first_arrival,87596494,08-Apr-2023,-93107.65,
18-Feb-2022,02:37:37,UC7622,D44,3068,first_arrival,87596494,27-Mar-2023,-93107.65,
18-Feb-2022,02:37:37,JZ0039,D44,7300,first_arrival,87596494,28-Jul-2023,-93107.65,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,02:37:37,VS3393,D44,6183,first_arrival,87596494,12-Nov-2022,-93107.65,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,10:55:25,XH6137,A25,2370,first_arrival,18069144,29-Jun-2023,-12858.90,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,10:55:25,MD2837,A25,9367,first_arrival,18069144,02-Nov-2022,-12858.90,
23-Feb-2022,10:55:25,MU2856,A25,6567,first_arrival,18069144,28-Jun-2022,-12858.90,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,10:55:25,XY7987,A25,4271,first_arrival,18069144,05-Aug-2022,-12858.90,arrived safely
23-Feb-2022,10:55:25,MC6173,A25,0218,first_arrival,18069144,28-Dec-2022,-12858.90,arrived safely
23-Feb-2022,10:55:25,TZ8429,A25,3559,first_arrival,18069144,11-May-2023,-12858.90,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,10:55:25,QB7593,A25,7602,first_arrival,18069144,25-Mar-2022,-12858.90,arrived safely
25-Feb-2022,07:54:46,MD2837,D5,1813,move,08975810,02-Nov-2022,-474.30,moving MD2837 from A25:9367 to D5:1813 under 08975810 invoice
