date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
01-Mar-2022,14:56:03,JF7088,A48,3109,first_arrival,45682469,05-Apr-2023,-58605.62,
01-Mar-2022,14:56:03,HH6365,A48,4484,first_arrival,45682469,17-Mar-2023,-58605.62,
01-Mar-2022,14:56:03,JI0248,A48,8027,first_arrival,45682469,13-Feb-2023,-58605.62,operation_cost = purchase_cost + delivery_cost
17-Mar-2022,02:29:09,QY2981,A48,9118,first_arrival,31917028,14-Jul-2023,-131308.24,
17-Mar-2022,02:29:09,HZ8227,A48,4454,first_arrival,31917028,04-Nov-2022,-131308.24,
17-Mar-2022,02:29:09,YZ1389,A48,2562,first_arrival,31917028,13-Oct-2022,-131308.24,
17-Mar-2022,02:29:09,HE5092,A48,9757,first_arrival,31917028,07-Apr-2022,-131308.24,operation_cost = purchase_cost + delivery_cost
17-Mar-2022,02:29:09,ER4680,A48,9256,first_arrival,31917028,03-Jan-2023,-131308.24,operation_cost = purchase_cost + delivery_cost
17-Mar-2022,02:29:09,ND0632,A48,4283,first_arrival,31917028,15-Feb-2023,-131308.24,arrived safely
17-Mar-2022,02:29:09,KG1028,A48,1868,first_arrival,31917028,21-Jun-2022,-131308.24,operation_cost = purchase_cost + delivery_cost
28-Mar-2022,08:27:25,JQ9422,B14,3820,first_arrival,29057068,10-May-2022,-123566.06,arrived safely
28-Mar-2022,08:27:25,CO1905,B14,2966,first_arrival,29057068,31-Aug-2022,-123566.06,
28-Mar-2022,08:27:25,LA4502,B14,0878,first_arrival,29057068,02-Apr-2023,-123566.06,operation_cost = purchase_cost + delivery_cost
28-Mar-2022,08:27:25,FG2882,B14,4396,first_arrival,29057068,03-Oct-2022,-123566.06,arrived safely
28-Mar-2022,08:27:25,FF2691,B14,6179,first_arrival,29057068,20-Aug-2022,-123566.06,
28-Mar-2022,08:27:25,YM7307,B14,2818,first_arrival,29057068,05-May-2022,-123566.06,
28-Mar-2022,08:27:25,QI6991,B14,9094,first_arrival,29057068,24-Jan-2023,-123566.06,
11-Apr-2022,10:36:40,LA4502,A32,7981,move,30099867,02-Apr-2023,-260.45,necessary action
13-Apr-2022,04:54:48,QO4055,B3,2867,first_arrival,13804006,17-Nov-2022,-54195.93,arrived safely
13-Apr-2022,04:54:48,BY3634,B3,4196,first_arrival,13804006,17-Jan-2023,-54195.93,operation_cost = purchase_cost + delivery_cost
13-Apr-2022,04:54:48,ZU6006,B3,5869,first_arrival,13804006,12-Oct-2022,-54195.93,arrived safely
13-Apr-2022,04:54:48,CF9730,B3,5369,first_arrival,13804006,22-Jan-2023,-54195.93,operation_cost = purchase_cost + delivery_cost
13-Apr-2022,04:54:48,GT8985,B3,1800,first_arrival,13804006,19-Nov-2022,-54195.93,
13-Apr-2022,04:54:48,CC8394,B3,6290,first_arrival,13804006,01-May-2022,-54195.93,operation_cost = purchase_cost + delivery_cost
