date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
19-Feb-2022,22:48:39,AZ0170,A39,2490,first_arrival,32051405,13-Jun-2022,-6777.04,arrived safely
22-Feb-2022,01:39:47,JV5964,A48,7697,first_arrival,53184298,06-Apr-2023,-19752.22,
02-May-2022,07:54:26,XV8125,B3,6559,first_arrival,52599448,28-Jan-2023,-90717.55,operation_cost = purchase_cost + delivery_cost
02-May-2022,07:54:26,BA5275,B3,6522,first_arrival,52599448,13-Feb-2023,-90717.55,arrived safely
02-May-2022,07:54:26,XQ6991,B3,3010,first_arrival,52599448,01-Jun-2022,-90717.55,operation_cost = purchase_cost + delivery_cost
02-May-2022,07:54:26,PF2113,B3,5357,first_arrival,52599448,18-Jan-2023,-90717.55,arrived safely
02-May-2022,07:54:26,QM3119,B3,0108,first_arrival,52599448,16-Jul-2022,-90717.55,
02-May-2022,07:54:26,NW2157,B3,4592,first_arrival,52599448,20-Sep-2022,-90717.55,
02-May-2022,07:54:26,MM8950,B3,5322,first_arrival,52599448,04-Mar-2023,-90717.55,arrived safely
02-May-2022,07:54:26,LH6868,B3,3448,first_arrival,52599448,08-Apr-2023,-90717.55,operation_cost = purchase_cost + delivery_cost
02-May-2022,07:54:26,IU4940,B3,1000,first_arrival,52599448,24-Feb-2023,-90717.55,operation_cost = purchase_cost + delivery_cost
02-May-2022,07:54:26,MW3842,B3,9890,first_arrival,52599448,05-Oct-2022,-90717.55,
02-May-2022,07:54:26,XV3781,B3,4588,first_arrival,52599448,28-Jul-2022,-90717.55,operation_cost = purchase_cost + delivery_cost
21-May-2022,14:18:44,QT1655,B14,3930,first_arrival,87926061,30-Nov-2022,-8800.80,operation_cost = purchase_cost + delivery_cost
21-May-2022,14:18:44,OQ1070,B14,1126,first_arrival,87926061,08-May-2023,-8800.80,arrived safely
21-May-2022,14:18:44,RG7578,B14,0854,first_arrival,87926061,18-May-2023,-8800.80,
21-May-2022,14:18:44,KG6733,B14,1314,first_arrival,87926061,17-Jun-2022,-8800.80,operation_cost = purchase_cost + delivery_cost
21-May-2022,14:18:44,CG1381,B14,8955,first_arrival,87926061,11-Apr-2023,-8800.80,
21-May-2022,14:18:44,FF0136,B14,4912,first_arrival,87926061,21-Jan-2023,-8800.80,arrived safely
21-May-2022,14:18:44,BL6881,B14,5302,first_arrival,87926061,28-Jun-2023,-8800.80,
21-May-2022,14:18:44,FN2303,B14,8840,first_arrival,87926061,29-Aug-2022,-8800.80,arrived safely
30-May-2022,15:09:44,CT5563,B3,3491,first_arrival,07315092,12-Jul-2022,-78091.03,arrived safely
30-May-2022,15:09:44,MM8004,B3,4139,first_arrival,07315092,03-Nov-2022,-78091.03,arrived safely
30-May-2022,15:09:44,EO4486,B3,9921,first_arrival,07315092,21-Nov-2022,-78091.03,
30-May-2022,15:09:44,QF6287,B3,8030,first_arrival,07315092,30-Jul-2022,-78091.03,
30-May-2022,15:09:44,QI5714,B3,9097,first_arrival,07315092,23-Mar-2023,-78091.03,
30-May-2022,15:09:44,GL0701,B3,5109,first_arrival,07315092,13-Nov-2022,-78091.03,arrived safely
30-May-2022,15:09:44,UP9326,B3,7787,first_arrival,07315092,25-May-2023,-78091.03,
04-Jun-2022,15:10:10,OX9563,C22,9572,first_arrival,80498887,19-Sep-2022,-43006.99,arrived safely
04-Jun-2022,15:10:10,WH1743,C22,2403,first_arrival,80498887,20-Oct-2022,-43006.99,
04-Jun-2022,15:10:10,NE6267,C22,7334,first_arrival,80498887,19-Apr-2023,-43006.99,operation_cost = purchase_cost + delivery_cost
