date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
18-Feb-2022,21:16:03,LE2810,D44,8234,first_arrival,30337900,18-Jul-2023,-89471.46,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,21:16:03,FL3064,D44,2663,first_arrival,30337900,07-Sep-2022,-89471.46,arrived safely
18-Feb-2022,21:16:03,LA8310,D44,2535,first_arrival,30337900,19-Nov-2022,-89471.46,
18-Feb-2022,21:16:03,TI4734,D44,8425,first_arrival,30337900,26-Apr-2022,-89471.46,arrived safely
18-Feb-2022,21:16:03,EV3100,D44,2037,first_arrival,30337900,15-Apr-2022,-89471.46,arrived safely
18-Feb-2022,21:16:03,CW1778,D44,8265,first_arrival,30337900,31-Mar-2022,-89471.46,arrived safely
18-Feb-2022,21:16:03,DL9937,D44,0394,first_arrival,30337900,14-Jul-2022,-89471.46,
18-Feb-2022,21:16:03,WZ2920,D44,3128,first_arrival,30337900,17-Apr-2022,-89471.46,arrived safely
18-Feb-2022,21:16:03,KO2887,D44,0044,first_arrival,30337900,10-Jul-2023,-89471.46,
18-Feb-2022,21:16:03,TM8871,D44,1285,first_arrival,30337900,19-Apr-2022,-89471.46,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,21:16:03,NR0446,D44,1239,first_arrival,30337900,06-Jul-2022,-89471.46,arrived safely
03-Mar-2022,07:23:18,VB8401,A25,3862,first_arrival,52145818,20-Sep-2022,-67550.95,operation_cost = purchase_cost + delivery_cost
03-Mar-2022,07:23:18,AS5495,A25,5928,first_arrival,52145818,12-Apr-2022,-67550.95,
03-Mar-2022,07:23:18,GG5995,A25,0012,first_arrival,52145818,30-Jun-2022,-67550.95,arrived safely
03-Mar-2022,07:23:18,JL3100,A25,4461,first_arrival,52145818,30-Apr-2022,-67550.95,arrived safely
03-Mar-2022,07:23:18,LD9888,A25,4785,first_arrival,52145818,01-Mar-2023,-67550.95,
03-Mar-2022,07:23:18,MQ1564,A25,7977,first_arrival,52145818,19-Sep-2022,-67550.95,arrived safely
03-Mar-2022,07:23:18,IK4951,A25,6009,first_arrival,52145818,20-May-2023,-67550.95,
03-Mar-2022,07:23:18,RX7070,A25,6795,first_arrival,52145818,25-Jan-2023,-67550.95,
03-Mar-2022,07:23:18,JD2895,A25,2660,first_arrival,52145818,05-Sep-2022,-67550.95,arrived safely
03-Mar-2022,07:23:18,TF5877,A25,9578,first_arrival,52145818,23-Mar-2022,-67550.95,operation_cost = purchase_cost + delivery_cost
03-Mar-2022,07:23:18,RM0933,A25,0827,first_arrival,52145818,16-May-2023,-67550.95,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,03:43:21,FL3064,D44,2663,sale,30337900,07-Sep-2022,8648.34,finally
15-Mar-2022,12:35:27,KW1969,C22,3326,first_arrival,21551761,24-Jul-2022,-26522.91,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,12:35:27,HW6046,C22,4885,first_arrival,21551761,12-Apr-2022,-26522.91,arrived safely
15-Mar-2022,12:35:27,GM6291,C22,6028,first_arrival,21551761,11-Apr-2022,-26522.91,arrived safely
15-Mar-2022,12:35:27,KG8711,C22,2148,first_arrival,21551761,01-Dec-2022,-26522.91,
15-Mar-2022,12:35:27,BG3694,C22,2212,first_arrival,21551761,08-Aug-2023,-26522.91,arrived safely
15-Mar-2022,12:35:27,LL4066,C22,1267,first_arrival,21551761,08-Nov-2022,-26522.91,arrived safely
19-Mar-2022,18:49:31,LE2810,D44,8234,sale,30337900,18-Jul-2023,12779.69,finally
27-Mar-2022,04:22:11,DL9937,B3,1453,move,69835051,14-Jul-2022,-257.12,necessary action
