date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
23-Feb-2022,21:48:12,GE5682,B14,7845,first_arrival,01253570,15-Nov-2022,-78893.22,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,21:48:12,AE2452,B14,5525,first_arrival,01253570,08-May-2022,-78893.22,operation_cost = purchase_cost + delivery_cost
23-Feb-2022,21:48:12,SY3705,B14,4434,first_arrival,01253570,14-Jun-2023,-78893.22,
23-Feb-2022,21:48:12,UM4651,B14,1801,first_arrival,01253570,02-Jul-2022,-78893.22,
23-Feb-2022,21:48:12,PD5652,B14,4293,first_arrival,01253570,22-Nov-2022,-78893.22,arrived safely
23-Feb-2022,21:48:12,XX1739,B14,1262,first_arrival,01253570,26-Mar-2022,-78893.22,
23-Feb-2022,21:48:12,BC5642,B14,3267,first_arrival,01253570,19-Apr-2022,-78893.22,arrived safely
02-Mar-2022,03:56:23,WB1964,A39,6369,first_arrival,74110246,26-Jan-2023,-34142.57,arrived safely
02-Mar-2022,03:56:23,GP6659,A39,9518,first_arrival,74110246,26-Jul-2022,-34142.57,arrived safely
02-Mar-2022,03:56:23,YO0567,A39,9664,first_arrival,74110246,08-Jul-2023,-34142.57,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,03:56:23,RN2494,A39,4208,first_arrival,74110246,27-Mar-2022,-34142.57,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,02:28:38,UM4651,A39,7484,move,77139566,02-Jul-2022,-204.28,moving UM4651 from B14:1801 to A39:7484 under 77139566 invoice
16-Mar-2022,17:35:35,OF1366,D44,0894,first_arrival,54069208,27-Sep-2022,-20910.08,operation_cost = purchase_cost + delivery_cost
16-Mar-2022,17:35:35,YB2394,D44,2973,first_arrival,54069208,05-May-2022,-20910.08,
16-Mar-2022,17:35:35,HW6547,D44,3005,first_arrival,54069208,24-Jul-2023,-20910.08,operation_cost = purchase_cost + delivery_cost
16-Mar-2022,17:35:35,IU8507,D44,9508,first_arrival,54069208,23-Aug-2022,-20910.08,operation_cost = purchase_cost + delivery_cost
16-Mar-2022,17:35:35,NP2260,D44,5434,first_arrival,54069208,18-Oct-2022,-20910.08,
16-Mar-2022,17:35:35,SE3502,D44,4357,first_arrival,54069208,10-May-2022,-20910.08,operation_cost = purchase_cost + delivery_cost
16-Mar-2022,17:35:35,SF7593,D44,3146,first_arrival,54069208,05-Apr-2022,-20910.08,
16-Mar-2022,17:35:35,BB9654,D44,9876,first_arrival,54069208,18-Jun-2023,-20910.08,arrived safely
16-Mar-2022,17:35:35,EB1691,D44,5037,first_arrival,54069208,22-May-2022,-20910.08,arrived safely
16-Mar-2022,17:35:35,KB7185,D44,9224,first_arrival,54069208,27-Dec-2022,-20910.08,operation_cost = purchase_cost + delivery_cost
18-Mar-2022,23:16:37,KQ0074,B3,1365,first_arrival,57730315,31-Jul-2022,-166786.40,
18-Mar-2022,23:16:37,AQ8330,B3,0361,first_arrival,57730315,19-Mar-2023,-166786.40,operation_cost = purchase_cost + delivery_cost
18-Mar-2022,23:16:37,IE7023,B3,9699,first_arrival,57730315,04-Apr-2022,-166786.40,
18-Mar-2022,23:16:37,VI2711,B3,4798,first_arrival,57730315,26-Aug-2022,-166786.40,operation_cost = purchase_cost + delivery_cost
18-Mar-2022,23:16:37,UR7350,B3,9005,first_arrival,57730315,13-Jul-2022,-166786.40,
18-Mar-2022,23:16:37,MS3273,B3,2183,first_arrival,57730315,11-Apr-2023,-166786.40,operation_cost = purchase_cost + delivery_cost
