date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
18-Feb-2022,05:39:17,TH0274,A25,3613,first_arrival,31117224,23-Mar-2022,-167712.17,
18-Feb-2022,05:39:17,YX1881,A25,1181,first_arrival,31117224,15-Jun-2022,-167712.17,
18-Feb-2022,05:39:17,IF0683,A25,8699,first_arrival,31117224,17-Apr-2022,-167712.17,arrived safely
18-Feb-2022,05:39:17,BH9415,A25,5108,first_arrival,31117224,28-Dec-2022,-167712.17,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,05:39:17,SB7547,A25,6597,first_arrival,31117224,09-May-2022,-167712.17,arrived safely
18-Feb-2022,05:39:17,BP4414,A25,3328,first_arrival,31117224,15-Sep-2022,-167712.17,
18-Feb-2022,05:39:17,SE6332,A25,8128,first_arrival,31117224,16-Dec-2022,-167712.17,
18-Feb-2022,05:39:17,FB7896,A25,6299,first_arrival,31117224,17-Oct-2022,-167712.17,
18-Feb-2022,05:39:17,VC0345,A25,9865,first_arrival,31117224,05-Jun-2022,-167712.17,operation_cost = purchase_cost + delivery_cost
24-Feb-2022,06:24:40,BH9415,B3,4269,move,20179435,28-Dec-2022,-369.67,necessary action
28-Feb-2022,13:16:51,MV7901,A25,7888,first_arrival,64112210,05-May-2023,-23612.80,arrived safely
28-Feb-2022,13:16:51,ML7769,A25,7359,first_arrival,64112210,11-Apr-2022,-23612.80,arrived safely
07-Mar-2022,23:17:33,ZG8015,A25,9729,first_arrival,71753704,03-Feb-2023,-23612.88,
07-Mar-2022,23:17:33,XU9924,A25,2766,first_arrival,71753704,16-Jun-2023,-23612.88,arrived safely
07-Mar-2022,23:17:33,GK1730,A25,1516,first_arrival,71753704,13-Jun-2022,-23612.88,arrived safely
07-Mar-2022,23:17:33,EY3718,A25,8577,first_arrival,71753704,19-Apr-2023,-23612.88,operation_cost = purchase_cost + delivery_cost
07-Mar-2022,23:17:33,VG7167,A25,3579,first_arrival,71753704,15-Jul-2023,-23612.88,arrived safely
07-Mar-2022,23:17:33,WL7033,A25,6670,first_arrival,71753704,05-Aug-2022,-23612.88,
07-Mar-2022,23:17:33,GI5164,A25,0845,first_arrival,71753704,25-Oct-2022,-23612.88,arrived safely
07-Mar-2022,23:17:33,JB4567,A25,8716,first_arrival,71753704,20-Mar-2023,-23612.88,arrived safely
08-Mar-2022,11:13:03,ZR8718,B3,8035,first_arrival,32870533,04-Jul-2023,-33628.16,
08-Mar-2022,11:13:03,VV9318,B3,7589,first_arrival,32870533,24-Apr-2023,-33628.16,arrived safely
08-Mar-2022,11:13:03,VP5277,B3,7175,first_arrival,32870533,14-Jun-2022,-33628.16,arrived safely
08-Mar-2022,11:13:03,SN1503,B3,6120,first_arrival,32870533,26-Apr-2023,-33628.16,arrived safely
13-Mar-2022,01:32:36,BH9415,A39,3366,move,63694479,28-Dec-2022,-316.16,
29-Mar-2022,03:38:27,VP5277,A25,7082,move,09497290,14-Jun-2022,-476.43,moving VP5277 from B3:7175 to A25:7082 under 09497290 invoice
02-Apr-2022,06:24:33,BP4414,A25,3328,sale,31117224,15-Sep-2022,14441.71,yay
06-Apr-2022,02:50:17,BS7102,A39,1835,first_arrival,33758461,17-Mar-2023,-7882.31,operation_cost = purchase_cost + delivery_cost
06-Apr-2022,02:50:17,FN3969,A39,6096,first_arrival,33758461,19-Sep-2022,-7882.31,arrived safely
06-Apr-2022,02:50:17,XE0866,A39,6485,first_arrival,33758461,07-Mar-2023,-7882.31,
11-Apr-2022,06:16:12,FM0791,C22,0906,first_arrival,07132075,20-Jan-2023,-33447.34,
11-Apr-2022,06:16:12,BW9204,C22,0580,first_arrival,07132075,14-Nov-2022,-33447.34,
11-Apr-2022,06:16:12,ZK0690,C22,3837,first_arrival,07132075,16-Feb-2023,-33447.34,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,14:48:43,ZB6254,D44,9464,first_arrival,22535331,21-Sep-2022,-97906.27,arrived safely
16-Apr-2022,14:48:43,MY6435,D44,3758,first_arrival,22535331,08-Dec-2022,-97906.27,
16-Apr-2022,14:48:43,LQ8301,D44,4170,first_arrival,22535331,29-Jul-2023,-97906.27,
16-Apr-2022,14:48:43,GX0163,D44,4957,first_arrival,22535331,25-Aug-2022,-97906.27,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,14:48:43,UH5835,D44,4501,first_arrival,22535331,23-Mar-2023,-97906.27,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,14:48:43,HO5449,D44,5390,first_arrival,22535331,27-Feb-2023,-97906.27,
16-Apr-2022,14:48:43,YU6271,D44,4438,first_arrival,22535331,26-May-2022,-97906.27,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,14:48:43,DS2798,D44,9756,first_arrival,22535331,02-Jun-2023,-97906.27,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,14:48:43,MY5276,D44,8466,first_arrival,22535331,02-Jul-2023,-97906.27,
22-Apr-2022,03:38:08,ML7769,A25,7359,dispose,64112210,11-Apr-2022,-204.59,oops
05-May-2022,10:04:27,FF2927,D5,0423,first_arrival,62094504,24-Aug-2022,-42696.18,operation_cost = purchase_cost + delivery_cost
05-May-2022,10:04:27,RZ8184,D5,7903,first_arrival,62094504,11-Aug-2022,-42696.18,operation_cost = purchase_cost + delivery_cost
05-May-2022,10:04:27,OY6982,D5,7064,first_arrival,62094504,26-Aug-2022,-42696.18,operation_cost = purchase_cost + delivery_cost
06-May-2022,16:27:04,GO1622,D44,6180,first_arrival,38122025,12-Jun-2022,-64860.82,operation_cost = purchase_cost + delivery_cost
06-May-2022,16:27:04,VZ9648,D44,5947,first_arrival,38122025,22-Feb-2023,-64860.82,operation_cost = purchase_cost + delivery_cost
06-May-2022,16:27:04,MU9581,D44,0155,first_arrival,38122025,25-Dec-2022,-64860.82,operation_cost = purchase_cost + delivery_cost
06-May-2022,16:27:04,RM8332,D44,1443,first_arrival,38122025,09-Jul-2022,-64860.82,arrived safely
06-May-2022,16:27:04,UM2823,D44,0219,first_arrival,38122025,08-May-2023,-64860.82,arrived safely
06-May-2022,16:27:04,YS1458,D44,0381,first_arrival,38122025,10-Jun-2022,-64860.82,operation_cost = purchase_cost + delivery_cost
10-May-2022,08:26:45,TH0274,A39,6732,move,27002418,23-Mar-2022,-490.18,moving TH0274 from A25:3613 to A39:6732 under 27002418 invoice
10-May-2022,20:00:55,JB4567,D5,5064,move,11678890,20-Mar-2023,-481.61,moving JB4567 from A25:8716 to D5:5064 under 11678890 invoice
25-May-2022,06:31:19,FM0791,D44,3305,move,51012963,20-Jan-2023,-181.52,
29-May-2022,01:05:45,ZK0690,C22,3837,sale,07132075,16-Feb-2023,24869.27,yay
02-Jun-2022,09:19:41,RM8332,A48,7826,move,37690858,09-Jul-2022,-314.41,
02-Jun-2022,15:31:31,BS7102,C22,3979,move,20406644,17-Mar-2023,-472.81,necessary action
07-Jun-2022,19:29:45,CX3123,D5,5363,first_arrival,50435574,30-Jun-2022,-5803.88,
07-Jun-2022,19:29:45,AC4495,D5,1242,first_arrival,50435574,09-Nov-2022,-5803.88,operation_cost = purchase_cost + delivery_cost
07-Jun-2022,19:29:45,OI2648,D5,7150,first_arrival,50435574,11-Oct-2022,-5803.88,operation_cost = purchase_cost + delivery_cost
10-Jun-2022,00:53:57,FN3969,A25,2669,move,14809554,19-Sep-2022,-253.07,moving FN3969 from A39:6096 to A25:2669 under 14809554 invoice
18-Jun-2022,10:40:42,BV9964,A48,5070,first_arrival,52001015,10-Jul-2023,-71537.44,
18-Jun-2022,10:40:42,AY4675,A48,7155,first_arrival,52001015,06-Jul-2023,-71537.44,operation_cost = purchase_cost + delivery_cost
18-Jun-2022,10:40:42,OK6934,A48,7450,first_arrival,52001015,10-Mar-2023,-71537.44,
18-Jun-2022,10:40:42,AQ9652,A48,0616,first_arrival,52001015,04-Jan-2023,-71537.44,arrived safely
18-Jun-2022,10:40:42,PW5108,A48,4587,first_arrival,52001015,12-Jul-2023,-71537.44,arrived safely
18-Jun-2022,10:40:42,RB1736,A48,2255,first_arrival,52001015,19-Apr-2023,-71537.44,operation_cost = purchase_cost + delivery_cost
18-Jun-2022,10:40:42,JQ7648,A48,3076,first_arrival,52001015,31-Dec-2022,-71537.44,operation_cost = purchase_cost + delivery_cost
18-Jun-2022,10:40:42,SD4848,A48,5728,first_arrival,52001015,25-Jun-2023,-71537.44,
18-Jun-2022,10:40:42,GR1140,A48,6649,first_arrival,52001015,26-Apr-2023,-71537.44,operation_cost = purchase_cost + delivery_cost
