date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
18-Feb-2022,02:21:18,LP4998,D5,8979,first_arrival,40482684,13-Dec-2022,-9828.16,
18-Feb-2022,13:40:59,QL4178,A25,7444,first_arrival,08245205,13-Feb-2023,-133059.83,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,13:40:59,ZA6148,A25,4154,first_arrival,08245205,22-May-2023,-133059.83,arrived safely
18-Feb-2022,13:40:59,XL9430,A25,5398,first_arrival,08245205,12-Feb-2023,-133059.83,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,13:40:59,ED7645,A25,7839,first_arrival,08245205,25-Nov-2022,-133059.83,arrived safely
18-Feb-2022,13:40:59,HK3451,A25,7044,first_arrival,08245205,29-May-2023,-133059.83,
18-Feb-2022,13:40:59,DD2686,A25,6180,first_arrival,08245205,04-Jul-2023,-133059.83,
18-Feb-2022,13:40:59,GU9052,A25,8028,first_arrival,08245205,27-Mar-2023,-133059.83,operation_cost = purchase_cost + delivery_cost
18-Feb-2022,13:40:59,YG7782,A25,9567,first_arrival,08245205,12-Jun-2022,-133059.83,arrived safely
18-Feb-2022,13:40:59,OA4685,A25,2403,first_arrival,08245205,26-Mar-2023,-133059.83,operation_cost = purchase_cost + delivery_cost
26-Feb-2022,04:32:06,TV0427,A48,2835,first_arrival,93920147,23-Apr-2022,-42328.95,
26-Feb-2022,04:32:06,SX1322,A48,3568,first_arrival,93920147,05-Jul-2023,-42328.95,operation_cost = purchase_cost + delivery_cost
26-Feb-2022,04:32:06,VV5599,A48,4970,first_arrival,93920147,24-Apr-2022,-42328.95,arrived safely
16-Mar-2022,11:05:17,DD2686,D44,4763,move,05647109,04-Jul-2023,-413.18,moving DD2686 from A25:6180 to D44:4763 under 05647109 invoice
26-Mar-2022,11:12:43,OO2168,B3,5054,first_arrival,33562814,09-Jun-2023,-919.71,arrived safely
26-Mar-2022,11:12:43,CC2621,B3,2858,first_arrival,33562814,28-Feb-2023,-919.71,arrived safely
01-Apr-2022,15:49:56,GU9052,A25,8028,sale,08245205,27-Mar-2023,25528.67,
05-Apr-2022,02:02:23,UX6029,B14,3433,first_arrival,05614450,22-Nov-2022,-33375.03,
05-Apr-2022,02:02:23,MH5680,B14,3943,first_arrival,05614450,01-Jul-2022,-33375.03,operation_cost = purchase_cost + delivery_cost
05-Apr-2022,02:02:23,YG2582,B14,9095,first_arrival,05614450,23-Jan-2023,-33375.03,arrived safely
05-Apr-2022,02:02:23,HU4058,B14,7138,first_arrival,05614450,07-Jun-2022,-33375.03,
09-Apr-2022,00:39:04,DZ4615,A48,3194,first_arrival,13402289,04-Feb-2023,-101334.25,operation_cost = purchase_cost + delivery_cost
09-Apr-2022,00:39:04,WN0107,A48,2226,first_arrival,13402289,06-Feb-2023,-101334.25,operation_cost = purchase_cost + delivery_cost
09-Apr-2022,00:39:04,LQ5829,A48,3699,first_arrival,13402289,19-Jun-2022,-101334.25,arrived safely
