date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
13-Feb-2022,15:40:37,HE6065,C22,9781,first_arrival,57835493,22-Dec-2022,-15605.41,
13-Feb-2022,15:40:37,IN1747,C22,3039,first_arrival,57835493,28-May-2023,-15605.41,operation_cost = purchase_cost + delivery_cost
13-Feb-2022,15:40:37,KE2984,C22,1355,first_arrival,57835493,20-Feb-2023,-15605.41,
14-Feb-2022,21:57:37,WF7540,D5,3257,first_arrival,03972588,12-Oct-2022,-81140.76,
14-Feb-2022,21:57:37,TW1589,D5,7871,first_arrival,03972588,15-Jul-2023,-81140.76,
14-Feb-2022,21:57:37,KI7210,D5,8370,first_arrival,03972588,29-Sep-2022,-81140.76,arrived safely
14-Feb-2022,21:57:37,CJ6355,D5,2725,first_arrival,03972588,27-Jul-2022,-81140.76,arrived safely
14-Feb-2022,21:57:37,VQ6408,D5,7834,first_arrival,03972588,10-May-2023,-81140.76,
14-Feb-2022,21:57:37,GK3834,D5,8237,first_arrival,03972588,24-Jul-2023,-81140.76,operation_cost = purchase_cost + delivery_cost
14-Feb-2022,21:57:37,MR5900,D5,1891,first_arrival,03972588,02-Jan-2023,-81140.76,
14-Feb-2022,21:57:37,SN1126,D5,4060,first_arrival,03972588,09-May-2022,-81140.76,
15-Feb-2022,00:54:24,VK0710,A48,7152,first_arrival,27398326,28-Apr-2023,-127375.09,arrived safely
15-Feb-2022,00:54:24,KB3510,A48,3988,first_arrival,27398326,24-Feb-2023,-127375.09,
15-Feb-2022,00:54:24,BW8657,A48,8057,first_arrival,27398326,25-Jan-2023,-127375.09,arrived safely
15-Feb-2022,00:54:24,NG9452,A48,6073,first_arrival,27398326,17-Sep-2022,-127375.09,
15-Feb-2022,00:54:24,CE4248,A48,3127,first_arrival,27398326,23-Jun-2023,-127375.09,
15-Feb-2022,00:54:24,NT1449,A48,1350,first_arrival,27398326,26-Jul-2023,-127375.09,arrived safely
15-Feb-2022,00:54:24,QM4255,A48,0215,first_arrival,27398326,29-Mar-2022,-127375.09,operation_cost = purchase_cost + delivery_cost
15-Feb-2022,00:54:24,CM5743,A48,1225,first_arrival,27398326,19-Apr-2022,-127375.09,
15-Feb-2022,00:54:24,KL3874,A48,0145,first_arrival,27398326,16-May-2023,-127375.09,
15-Feb-2022,00:54:24,RX3805,A48,5260,first_arrival,27398326,26-Feb-2022,-127375.09,
15-Feb-2022,00:54:24,VR6717,A48,7394,first_arrival,27398326,06-Dec-2022,-127375.09,
23-Feb-2022,07:55:18,CE4248,A48,3127,sale,27398326,23-Jun-2023,2862.15,
24-Feb-2022,21:33:21,MR5900,A25,9037,move,63969373,02-Jan-2023,-360.32,moving MR5900 from D5:1891 to A25:9037 under 63969373 invoice
26-Mar-2022,09:52:16,CU0656,A25,1137,first_arrival,02823704,15-Jul-2023,-54753.78,operation_cost = purchase_cost + delivery_cost
26-Mar-2022,09:52:16,EC5542,A25,4917,first_arrival,02823704,04-Nov-2022,-54753.78,
26-Mar-2022,09:52:16,GI8132,A25,1513,first_arrival,02823704,03-Jun-2022,-54753.78,
06-Apr-2022,23:41:32,QX9083,B3,4346,first_arrival,91366369,14-Apr-2022,-9467.44,operation_cost = purchase_cost + delivery_cost
06-Apr-2022,23:41:32,AL8228,B3,3168,first_arrival,91366369,06-Jul-2022,-9467.44,
06-Apr-2022,23:41:32,KB1711,B3,0761,first_arrival,91366369,05-Dec-2022,-9467.44,arrived safely
06-Apr-2022,23:41:32,RK9347,B3,5930,first_arrival,91366369,08-Sep-2022,-9467.44,
06-Apr-2022,23:41:32,RB9106,B3,2532,first_arrival,91366369,08-Dec-2022,-9467.44,arrived safely
06-Apr-2022,23:41:32,HX5174,B3,3337,first_arrival,91366369,03-Jan-2023,-9467.44,
06-Apr-2022,23:41:32,ZQ4155,B3,0868,first_arrival,91366369,28-Jun-2023,-9467.44,operation_cost = purchase_cost + delivery_cost
06-Apr-2022,23:41:32,PM4763,B3,6481,first_arrival,91366369,21-Jul-2023,-9467.44,
10-Apr-2022,15:21:54,TH5872,A39,3939,first_arrival,52957239,06-Dec-2022,-55088.06,arrived safely
10-Apr-2022,15:21:54,LT0134,A39,4881,first_arrival,52957239,20-May-2023,-55088.06,
10-Apr-2022,15:21:54,AD3869,A39,1925,first_arrival,52957239,02-Nov-2022,-55088.06,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,15:21:54,BH8771,A39,6927,first_arrival,52957239,23-May-2022,-55088.06,
10-Apr-2022,15:21:54,FH8123,A39,2668,first_arrival,52957239,07-Jul-2023,-55088.06,arrived safely
10-Apr-2022,15:21:54,WW0950,A39,3180,first_arrival,52957239,09-Jul-2022,-55088.06,arrived safely
10-Apr-2022,15:21:54,PK4333,A39,1413,first_arrival,52957239,15-Nov-2022,-55088.06,operation_cost = purchase_cost + delivery_cost
10-Apr-2022,15:21:54,BK7622,A39,7421,first_arrival,52957239,07-Jan-2023,-55088.06,arrived safely
17-Apr-2022,04:28:50,SY9137,A32,4712,first_arrival,50940566,20-Oct-2022,-178382.22,operation_cost = purchase_cost + delivery_cost
17-Apr-2022,04:28:50,DO3874,A32,6297,first_arrival,50940566,23-Nov-2022,-178382.22,arrived safely
17-Apr-2022,04:28:50,SX4741,A32,2623,first_arrival,50940566,23-Nov-2022,-178382.22,arrived safely
17-Apr-2022,04:28:50,MM5593,A32,3185,first_arrival,50940566,23-Apr-2023,-178382.22,operation_cost = purchase_cost + delivery_cost
17-Apr-2022,04:28:50,JZ5765,A32,0403,first_arrival,50940566,08-Mar-2023,-178382.22,
17-Apr-2022,04:28:50,BH0287,A32,7617,first_arrival,50940566,08-Feb-2023,-178382.22,arrived safely
17-Apr-2022,04:28:50,GF4119,A32,3760,first_arrival,50940566,09-Jul-2022,-178382.22,arrived safely
17-Apr-2022,04:28:50,SC6049,A32,5082,first_arrival,50940566,08-Jan-2023,-178382.22,arrived safely
17-Apr-2022,04:28:50,QQ5731,A32,3251,first_arrival,50940566,10-May-2023,-178382.22,operation_cost = purchase_cost + delivery_cost
17-Apr-2022,04:28:50,OG9295,A32,1530,first_arrival,50940566,18-Aug-2022,-178382.22,operation_cost = purchase_cost + delivery_cost
17-Apr-2022,04:28:50,RG0041,A32,6702,first_arrival,50940566,19-May-2023,-178382.22,
17-Apr-2022,04:28:50,RR0249,A32,5597,first_arrival,50940566,07-Jan-2023,-178382.22,
23-Apr-2022,01:17:31,AD3869,D5,3849,move,43509554,02-Nov-2022,-285.35,necessary action
27-Apr-2022,20:40:39,OQ6625,A48,2549,first_arrival,65690565,27-May-2023,-90177.82,
27-Apr-2022,20:40:39,BD7056,A48,3136,first_arrival,65690565,01-Jan-2023,-90177.82,arrived safely
27-Apr-2022,20:40:39,NK0126,A48,1123,first_arrival,65690565,11-Dec-2022,-90177.82,operation_cost = purchase_cost + delivery_cost
27-Apr-2022,20:40:39,MW5624,A48,0359,first_arrival,65690565,26-Dec-2022,-90177.82,
27-Apr-2022,20:40:39,MM8596,A48,0497,first_arrival,65690565,29-Jun-2023,-90177.82,operation_cost = purchase_cost + delivery_cost
27-Apr-2022,20:40:39,MZ3925,A48,8061,first_arrival,65690565,17-Nov-2022,-90177.82,
30-Apr-2022,18:27:57,PM4763,B14,8951,move,27600011,21-Jul-2023,-192.04,
01-May-2022,08:58:44,BH8771,B3,3495,move,31921037,23-May-2022,-392.10,necessary action
04-May-2022,15:33:51,BH0287,C22,3929,move,91766887,08-Feb-2023,-418.64,moving BH0287 from A32:7617 to C22:3929 under 91766887 invoice
16-May-2022,23:40:05,PK4333,D5,5752,move,78131166,15-Nov-2022,-156.71,
17-May-2022,12:20:30,SC6049,A25,6488,move,35811311,08-Jan-2023,-185.66,moving SC6049 from A32:5082 to A25:6488 under 35811311 invoice
20-May-2022,09:23:31,RI4504,D5,4515,first_arrival,21891702,05-Apr-2023,-27446.59,
20-May-2022,09:23:31,PG2706,D5,7406,first_arrival,21891702,10-Jan-2023,-27446.59,operation_cost = purchase_cost + delivery_cost
20-May-2022,09:23:31,WG4098,D5,4975,first_arrival,21891702,29-Jun-2022,-27446.59,operation_cost = purchase_cost + delivery_cost
20-May-2022,09:23:31,LR1227,D5,7506,first_arrival,21891702,03-Jun-2023,-27446.59,arrived safely
