date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
03-Mar-2022,21:00:04,PY0775,A48,0489,first_arrival,23626406,23-Mar-2022,-23886.71,operation_cost = purchase_cost + delivery_cost
03-Mar-2022,21:00:04,CR5367,A48,9254,first_arrival,23626406,16-May-2022,-23886.71,arrived safely
03-Mar-2022,21:00:04,UT5438,A48,6050,first_arrival,23626406,19-May-2023,-23886.71,
03-Mar-2022,21:00:04,JH2703,A48,2108,first_arrival,23626406,05-Oct-2022,-23886.71,
03-Mar-2022,21:00:04,SH7498,A48,3635,first_arrival,23626406,12-Oct-2022,-23886.71,
06-Mar-2022,16:27:49,JF2454,A32,2911,first_arrival,46896070,15-Jul-2022,-133618.32,
06-Mar-2022,16:27:49,SJ0696,A32,3267,first_arrival,46896070,20-Dec-2022,-133618.32,arrived safely
06-Mar-2022,16:27:49,KK8273,A32,0084,first_arrival,46896070,03-Jul-2023,-133618.32,
06-Mar-2022,16:27:49,MJ3829,A32,8432,first_arrival,46896070,13-Oct-2022,-133618.32,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,16:27:49,OE0965,A32,9786,first_arrival,46896070,28-Aug-2022,-133618.32,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,16:27:49,DH7661,A32,9961,first_arrival,46896070,10-May-2023,-133618.32,arrived safely
06-Mar-2022,16:27:49,GS8021,A32,5840,first_arrival,46896070,22-Sep-2022,-133618.32,arrived safely
06-Mar-2022,16:27:49,RE8618,A32,7272,first_arrival,46896070,07-Feb-2023,-133618.32,
06-Mar-2022,16:27:49,GZ8119,A32,3353,first_arrival,46896070,19-Nov-2022,-133618.32,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,16:27:49,JC2350,A32,9540,first_arrival,46896070,03-May-2023,-133618.32,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,16:27:49,IL2121,A32,7877,first_arrival,46896070,14-Apr-2022,-133618.32,operation_cost = purchase_cost + delivery_cost
06-Mar-2022,16:27:49,XK1816,A32,6974,first_arrival,46896070,22-Mar-2022,-133618.32,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,01:24:53,LX3203,A32,3750,first_arrival,54484378,02-Jul-2023,-101474.08,
09-Mar-2022,01:24:53,EV3040,A32,2836,first_arrival,54484378,11-Jul-2023,-101474.08,
09-Mar-2022,01:24:53,FO3886,A32,9518,first_arrival,54484378,10-Apr-2023,-101474.08,arrived safely
09-Mar-2022,01:24:53,IH0743,A32,9645,first_arrival,54484378,05-Aug-2022,-101474.08,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,01:24:53,JO0335,A32,9737,first_arrival,54484378,20-Apr-2023,-101474.08,
09-Mar-2022,01:24:53,SQ3485,A32,9693,first_arrival,54484378,31-Aug-2022,-101474.08,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,01:24:53,IB3467,A32,1261,first_arrival,54484378,05-Feb-2023,-101474.08,operation_cost = purchase_cost + delivery_cost
