date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
16-Feb-2022,11:16:02,OG9954,D44,1415,first_arrival,63904227,22-Jun-2023,-160946.17,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,11:16:02,DV9951,D44,8749,first_arrival,63904227,19-Jul-2022,-160946.17,arrived safely
16-Feb-2022,11:16:02,YZ8818,D44,6869,first_arrival,63904227,29-Jul-2022,-160946.17,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,11:16:02,PW7883,D44,8558,first_arrival,63904227,23-Mar-2023,-160946.17,
16-Feb-2022,11:16:02,NW5747,D44,8679,first_arrival,63904227,28-Mar-2022,-160946.17,
16-Feb-2022,11:16:02,QL9565,D44,8999,first_arrival,63904227,09-Apr-2022,-160946.17,arrived safely
16-Feb-2022,11:16:02,KC6379,D44,8089,first_arrival,63904227,08-Dec-2022,-160946.17,
16-Feb-2022,11:16:02,RU1873,D44,8289,first_arrival,63904227,14-Jul-2022,-160946.17,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,11:16:02,PR2243,D44,4594,first_arrival,63904227,03-Jul-2023,-160946.17,
16-Feb-2022,11:16:02,CN3225,D44,8854,first_arrival,63904227,27-May-2022,-160946.17,arrived safely
13-Mar-2022,13:03:37,QZ3394,B14,4610,first_arrival,30533646,29-Sep-2022,-59781.45,
13-Mar-2022,13:03:37,ML0769,B14,3822,first_arrival,30533646,29-Jul-2022,-59781.45,
13-Mar-2022,13:03:37,QC2587,B14,2910,first_arrival,30533646,28-May-2022,-59781.45,arrived safely
13-Mar-2022,13:03:37,MB6827,B14,2011,first_arrival,30533646,26-Jun-2023,-59781.45,operation_cost = purchase_cost + delivery_cost
13-Mar-2022,13:03:37,LW0558,B14,0814,first_arrival,30533646,29-Jul-2023,-59781.45,arrived safely
15-Mar-2022,17:18:12,JB6424,D44,9327,first_arrival,65176697,10-Apr-2022,-127120.08,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,17:18:12,NF9162,D44,9339,first_arrival,65176697,23-Mar-2022,-127120.08,arrived safely
15-Mar-2022,17:18:12,AH3042,D44,3749,first_arrival,65176697,01-Oct-2022,-127120.08,arrived safely
15-Mar-2022,17:18:12,BH8533,D44,7445,first_arrival,65176697,30-Apr-2022,-127120.08,arrived safely
15-Mar-2022,17:18:12,JO4164,D44,7556,first_arrival,65176697,24-Mar-2022,-127120.08,
15-Mar-2022,17:18:12,LZ3825,D44,0797,first_arrival,65176697,21-Aug-2022,-127120.08,
15-Mar-2022,17:18:12,CL7299,D44,0626,first_arrival,65176697,12-Dec-2022,-127120.08,arrived safely
15-Mar-2022,17:18:12,SF7372,D44,5806,first_arrival,65176697,15-Mar-2023,-127120.08,arrived safely
15-Mar-2022,17:18:12,JV8455,D44,5899,first_arrival,65176697,03-Apr-2023,-127120.08,
19-Mar-2022,13:55:43,NV2935,A39,7393,first_arrival,99785197,11-May-2022,-53375.41,arrived safely
19-Mar-2022,13:55:43,WO5887,A39,4043,first_arrival,99785197,24-Jun-2023,-53375.41,arrived safely
19-Mar-2022,13:55:43,JA6247,A39,4093,first_arrival,99785197,09-Jun-2022,-53375.41,
19-Mar-2022,13:55:43,YX6930,A39,8606,first_arrival,99785197,11-Jun-2023,-53375.41,
24-Mar-2022,09:24:30,NF9162,A39,7426,move,94831724,23-Mar-2022,-176.05,moving NF9162 from D44:9339 to A39:7426 under 94831724 invoice
29-Mar-2022,00:45:49,WO5887,A39,4043,sale,99785197,24-Jun-2023,2742.74,
30-Mar-2022,11:14:23,IT9458,D44,8778,first_arrival,33485333,02-May-2023,-87190.65,
30-Mar-2022,11:14:23,GK0834,D44,4182,first_arrival,33485333,18-Jul-2022,-87190.65,operation_cost = purchase_cost + delivery_cost
30-Mar-2022,11:14:23,LS6283,D44,0051,first_arrival,33485333,13-Jan-2023,-87190.65,operation_cost = purchase_cost + delivery_cost
30-Mar-2022,11:14:23,ME3934,D44,5911,first_arrival,33485333,02-Aug-2022,-87190.65,
