date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
16-Feb-2022,07:45:00,RT6179,C22,0154,first_arrival,02122904,27-Jul-2022,-221682.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,07:45:00,FQ9726,C22,0376,first_arrival,02122904,13-Apr-2023,-221682.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,07:45:00,YB3123,C22,7687,first_arrival,02122904,25-Nov-2022,-221682.68,
16-Feb-2022,07:45:00,XS6830,C22,7390,first_arrival,02122904,02-Dec-2022,-221682.68,arrived safely
16-Feb-2022,07:45:00,PM4023,C22,2632,first_arrival,02122904,28-Jun-2023,-221682.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,07:45:00,PH3276,C22,8264,first_arrival,02122904,03-Apr-2023,-221682.68,
16-Feb-2022,07:45:00,QJ1046,C22,5176,first_arrival,02122904,05-Nov-2022,-221682.68,arrived safely
16-Feb-2022,07:45:00,NM9271,C22,6651,first_arrival,02122904,30-Apr-2022,-221682.68,arrived safely
16-Feb-2022,07:45:00,WB5739,C22,7754,first_arrival,02122904,18-Mar-2023,-221682.68,operation_cost = purchase_cost + delivery_cost
16-Feb-2022,07:45:00,WP6214,C22,1712,first_arrival,02122904,28-Jan-2023,-221682.68,
16-Feb-2022,07:45:00,QY4499,C22,8148,first_arrival,02122904,11-Nov-2022,-221682.68,arrived safely
16-Feb-2022,07:45:00,TM3789,C22,2044,first_arrival,02122904,23-Feb-2022,-221682.68,arrived safely
23-Feb-2022,20:11:36,FA3557,B3,4761,first_arrival,00506550,11-Jul-2022,-19224.69,arrived safely
23-Feb-2022,20:11:36,AT4163,B3,2544,first_arrival,00506550,30-Oct-2022,-19224.69,
23-Feb-2022,20:11:36,QS8521,B3,6275,first_arrival,00506550,13-Apr-2022,-19224.69,
23-Feb-2022,20:11:36,ZV2983,B3,2619,first_arrival,00506550,11-Jan-2023,-19224.69,operation_cost = purchase_cost + delivery_cost
16-Mar-2022,00:37:39,IO7933,A48,6025,first_arrival,69706082,31-Jan-2023,-19630.14,
16-Mar-2022,00:37:39,FG5809,A48,0459,first_arrival,69706082,23-May-2022,-19630.14,
16-Mar-2022,00:37:39,QT8083,A48,2012,first_arrival,69706082,03-Feb-2023,-19630.14,operation_cost = purchase_cost + delivery_cost
16-Mar-2022,00:37:39,KN8371,A48,1786,first_arrival,69706082,24-Apr-2022,-19630.14,operation_cost = purchase_cost + delivery_cost
28-Mar-2022,18:04:51,QJ1046,C22,5176,sale,02122904,05-Nov-2022,2124.14,yay
02-Apr-2022,19:45:38,HQ7020,A48,8520,first_arrival,75808853,03-Oct-2022,-13794.46,arrived safely
02-Apr-2022,19:45:38,TY7489,A48,0206,first_arrival,75808853,19-Dec-2022,-13794.46,operation_cost = purchase_cost + delivery_cost
02-Apr-2022,19:45:38,GW9830,A48,6398,first_arrival,75808853,14-Apr-2022,-13794.46,operation_cost = purchase_cost + delivery_cost
02-Apr-2022,19:45:38,XI1677,A48,9982,first_arrival,75808853,29-Jul-2023,-13794.46,operation_cost = purchase_cost + delivery_cost
02-Apr-2022,19:45:38,DT4492,A48,4923,first_arrival,75808853,20-Dec-2022,-13794.46,
02-Apr-2022,19:45:38,WK9942,A48,9974,first_arrival,75808853,16-Jul-2023,-13794.46,
02-Apr-2022,19:45:38,KW8629,A48,8836,first_arrival,75808853,19-May-2023,-13794.46,
02-Apr-2022,19:45:38,OU4161,A48,0644,first_arrival,75808853,21-May-2022,-13794.46,
02-Apr-2022,19:45:38,LX5006,A48,6180,first_arrival,75808853,06-Dec-2022,-13794.46,operation_cost = purchase_cost + delivery_cost
02-Apr-2022,19:45:38,XV4549,A48,5989,first_arrival,75808853,18-May-2022,-13794.46,operation_cost = purchase_cost + delivery_cost
