date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
12-Feb-2022,19:41:11,ZW0528,A39,6643,first_arrival,71467883,24-Dec-2022,-57230.91,operation_cost = purchase_cost + delivery_cost
12-Feb-2022,19:41:11,YK4785,A39,5018,first_arrival,71467883,01-Nov-2022,-57230.91,arrived safely
12-Feb-2022,19:41:11,DG8302,A39,1883,first_arrival,71467883,19-Jun-2022,-57230.91,operation_cost = purchase_cost + delivery_cost
12-Feb-2022,19:41:11,KE4575,A39,1550,first_arrival,71467883,25-Aug-2022,-57230.91,
12-Feb-2022,19:41:11,ZZ6244,A39,0918,first_arrival,71467883,03-Dec-2022,-57230.91,operation_cost = purchase_cost + delivery_cost
12-Feb-2022,19:41:11,BZ0596,A39,8474,first_arrival,71467883,14-Apr-2022,-57230.91,arrived safely
12-Feb-2022,19:41:11,BR6381,A39,3235,first_arrival,71467883,31-Dec-2022,-57230.91,arrived safely
12-Feb-2022,19:41:11,DH0064,A39,9612,first_arrival,71467883,07-Jul-2023,-57230.91,
12-Feb-2022,19:41:11,XS0240,A39,2779,first_arrival,71467883,09-Jul-2022,-57230.91,
12-Feb-2022,19:41:11,IM0739,A39,3977,first_arrival,71467883,03-Feb-2023,-57230.91,operation_cost = purchase_cost + delivery_cost
18-Apr-2022,01:26:51,AS5035,A39,5913,first_arrival,10078514,27-May-2022,-18217.07,operation_cost = purchase_cost + delivery_cost
18-Apr-2022,01:26:51,XD5596,A39,6022,first_arrival,10078514,12-Feb-2023,-18217.07,arrived safely
18-Apr-2022,01:26:51,XK2729,A39,8936,first_arrival,10078514,16-Dec-2022,-18217.07,
18-Apr-2022,01:26:51,SP9122,A39,5246,first_arrival,10078514,05-Feb-2023,-18217.07,
18-Apr-2022,01:26:51,UZ2019,A39,8974,first_arrival,10078514,08-Jun-2022,-18217.07,operation_cost = purchase_cost + delivery_cost
18-Apr-2022,01:26:51,BU6346,A39,4369,first_arrival,10078514,21-Dec-2022,-18217.07,operation_cost = purchase_cost + delivery_cost
18-Apr-2022,01:26:51,AO8028,A39,4188,first_arrival,10078514,11-Apr-2023,-18217.07,operation_cost = purchase_cost + delivery_cost
18-Apr-2022,01:26:51,BF5961,A39,9006,first_arrival,10078514,10-Apr-2023,-18217.07,operation_cost = purchase_cost + delivery_cost
20-Apr-2022,21:09:58,AO8028,A39,4188,sale,10078514,11-Apr-2023,10656.63,finally
22-Apr-2022,16:34:49,PP1474,A32,4478,first_arrival,46647650,21-Dec-2022,-5031.89,operation_cost = purchase_cost + delivery_cost
22-Apr-2022,16:34:49,SC8933,A32,5604,first_arrival,46647650,17-Jan-2023,-5031.89,
22-Apr-2022,16:34:49,IY6748,A32,6625,first_arrival,46647650,13-Dec-2022,-5031.89,arrived safely
22-Apr-2022,16:34:49,RE5098,A32,7595,first_arrival,46647650,15-Mar-2023,-5031.89,arrived safely
22-Apr-2022,16:34:49,SG9931,A32,1230,first_arrival,46647650,06-Jun-2023,-5031.89,
22-Apr-2022,16:34:49,JH3660,A32,8901,first_arrival,46647650,05-Aug-2022,-5031.89,operation_cost = purchase_cost + delivery_cost
22-Apr-2022,16:34:49,MH5072,A32,7279,first_arrival,46647650,28-Mar-2023,-5031.89,arrived safely
05-May-2022,18:24:19,HP9406,D5,0660,first_arrival,14272122,20-Oct-2022,-60965.64,operation_cost = purchase_cost + delivery_cost
05-May-2022,18:24:19,PD9220,D5,8934,first_arrival,14272122,05-Oct-2022,-60965.64,
05-May-2022,18:24:19,KF3927,D5,1729,first_arrival,14272122,23-Nov-2022,-60965.64,arrived safely
05-May-2022,18:24:19,FI3440,D5,1620,first_arrival,14272122,01-Jun-2022,-60965.64,
05-May-2022,18:24:19,LS5328,D5,9438,first_arrival,14272122,27-Apr-2023,-60965.64,operation_cost = purchase_cost + delivery_cost
05-May-2022,18:24:19,YG6821,D5,9322,first_arrival,14272122,15-Nov-2022,-60965.64,operation_cost = purchase_cost + delivery_cost
05-May-2022,18:24:19,MQ2814,D5,9570,first_arrival,14272122,10-Jun-2023,-60965.64,
08-Jun-2022,01:34:07,XD5596,C22,1153,move,98980108,12-Feb-2023,-361.71,necessary action
08-Jun-2022,12:33:22,LS5328,A39,7765,move,60618599,27-Apr-2023,-139.29,
09-Jun-2022,21:42:26,AB9416,B3,3435,first_arrival,04995826,06-Jul-2023,-23445.35,arrived safely
09-Jun-2022,21:42:26,BE8654,B3,7770,first_arrival,04995826,26-Aug-2022,-23445.35,arrived safely
10-Jun-2022,18:56:33,VJ8121,B3,1946,first_arrival,26929435,18-Jun-2023,-55850.32,
10-Jun-2022,18:56:33,AS8062,B3,3076,first_arrival,26929435,11-Jul-2022,-55850.32,
10-Jun-2022,18:56:33,NT1250,B3,6965,first_arrival,26929435,04-Mar-2023,-55850.32,arrived safely
10-Jun-2022,18:56:33,MF6805,B3,9774,first_arrival,26929435,03-Oct-2022,-55850.32,
10-Jun-2022,18:56:33,UU9327,B3,3733,first_arrival,26929435,03-Aug-2022,-55850.32,arrived safely
10-Jun-2022,18:56:33,QG5800,B3,6645,first_arrival,26929435,10-Nov-2022,-55850.32,operation_cost = purchase_cost + delivery_cost
10-Jun-2022,18:56:33,IP4404,B3,1501,first_arrival,26929435,03-Apr-2023,-55850.32,
11-Jun-2022,11:50:57,LB1023,B3,3826,first_arrival,16974256,18-Apr-2023,-1111.74,arrived safely
11-Jun-2022,11:50:57,CQ4489,B3,5583,first_arrival,16974256,19-Feb-2023,-1111.74,operation_cost = purchase_cost + delivery_cost
13-Jun-2022,01:55:04,MH5072,B3,2975,move,51994419,28-Mar-2023,-407.01,moving MH5072 from A32:7279 to B3:2975 under 51994419 invoice
21-Jun-2022,21:14:48,ZZ6244,A32,8605,move,74355340,03-Dec-2022,-173.27,necessary action
22-Jun-2022,02:52:04,RF1776,B14,4752,first_arrival,05142505,01-Jan-2023,-70979.20,
22-Jun-2022,02:52:04,TC9542,B14,9341,first_arrival,05142505,13-Feb-2023,-70979.20,operation_cost = purchase_cost + delivery_cost
22-Jun-2022,02:52:04,PA8326,B14,6043,first_arrival,05142505,26-Jul-2022,-70979.20,arrived safely
22-Jun-2022,02:52:04,PR4601,B14,2734,first_arrival,05142505,15-Jan-2023,-70979.20,arrived safely
22-Jun-2022,02:52:04,NN7920,B14,0539,first_arrival,05142505,30-Jun-2023,-70979.20,operation_cost = purchase_cost + delivery_cost
22-Jun-2022,02:52:04,TU5470,B14,3691,first_arrival,05142505,26-Feb-2023,-70979.20,
24-Jun-2022,19:35:39,IY6748,D5,1570,move,28234464,13-Dec-2022,-473.19,necessary action
26-Jun-2022,12:19:01,XS0240,B3,9915,move,99459493,09-Jul-2022,-223.07,moving XS0240 from A39:2779 to B3:9915 under 99459493 invoice
27-Jun-2022,15:54:57,UZ2019,A39,8974,dispose,10078514,08-Jun-2022,-312.28,oops
08-Jul-2022,00:07:26,JY3873,D5,5057,first_arrival,59520581,21-Jul-2023,-5720.77,operation_cost = purchase_cost + delivery_cost
08-Jul-2022,00:07:26,IX0268,D5,1804,first_arrival,59520581,14-Sep-2022,-5720.77,
