date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
19-Mar-2022,05:25:02,JT6073,D5,2881,first_arrival,13978220,30-Jan-2023,-142144.22,arrived safely
19-Mar-2022,05:25:02,QJ9113,D5,0534,first_arrival,13978220,06-Aug-2023,-142144.22,operation_cost = purchase_cost + delivery_cost
19-Mar-2022,05:25:02,XI0430,D5,5939,first_arrival,13978220,26-Jun-2023,-142144.22,
19-Mar-2022,05:25:02,WK4274,D5,4486,first_arrival,13978220,27-Jul-2023,-142144.22,
19-Mar-2022,05:25:02,HK8933,D5,9367,first_arrival,13978220,08-May-2022,-142144.22,arrived safely
19-Mar-2022,05:25:02,TU4718,D5,1461,first_arrival,13978220,30-May-2023,-142144.22,arrived safely
19-Mar-2022,05:25:02,WE5089,D5,7610,first_arrival,13978220,29-Jun-2023,-142144.22,operation_cost = purchase_cost + delivery_cost
19-Mar-2022,05:25:02,SR5148,D5,7257,first_arrival,13978220,21-Jul-2023,-142144.22,
19-Mar-2022,05:25:02,FB0585,D5,5028,first_arrival,13978220,22-May-2022,-142144.22,
19-Mar-2022,05:25:02,VA8284,D5,5165,first_arrival,13978220,08-Jun-2022,-142144.22,operation_cost = purchase_cost + delivery_cost
20-Mar-2022,11:23:17,QJ9113,D5,0534,sale,13978220,06-Aug-2023,28993.72,
02-Apr-2022,02:51:06,ZL0585,B3,3570,first_arrival,76142649,16-Aug-2022,-18905.91,
06-Apr-2022,18:30:11,WK4274,B14,3734,move,43926786,27-Jul-2023,-415.22,necessary action
11-Apr-2022,22:33:57,VA8284,C22,0630,move,44504927,08-Jun-2022,-358.75,
13-Apr-2022,12:06:50,DB1846,A32,3908,first_arrival,65360030,19-Dec-2022,-136532.25,
13-Apr-2022,12:06:50,XT6223,A32,5661,first_arrival,65360030,22-May-2023,-136532.25,operation_cost = purchase_cost + delivery_cost
13-Apr-2022,12:06:50,ZL6580,A32,3008,first_arrival,65360030,17-Aug-2022,-136532.25,
13-Apr-2022,12:06:50,IO6885,A32,1533,first_arrival,65360030,14-Jul-2023,-136532.25,
13-Apr-2022,12:06:50,ZK8790,A32,0406,first_arrival,65360030,30-Jul-2022,-136532.25,arrived safely
13-Apr-2022,12:06:50,NK3478,A32,8634,first_arrival,65360030,01-Jun-2022,-136532.25,
13-Apr-2022,12:06:50,OB5595,A32,5088,first_arrival,65360030,04-Jun-2023,-136532.25,
14-Apr-2022,19:45:54,MC9242,D44,6025,first_arrival,22970639,06-Oct-2022,-23099.62,
14-Apr-2022,19:45:54,CP9860,D44,0993,first_arrival,22970639,08-Apr-2023,-23099.62,operation_cost = purchase_cost + delivery_cost
14-Apr-2022,19:45:54,JP8589,D44,3970,first_arrival,22970639,07-Jan-2023,-23099.62,arrived safely
14-Apr-2022,19:45:54,QK9942,D44,7846,first_arrival,22970639,06-Jun-2023,-23099.62,
14-Apr-2022,19:45:54,FT0659,D44,3304,first_arrival,22970639,06-Jun-2022,-23099.62,
14-Apr-2022,19:45:54,GG4925,D44,5446,first_arrival,22970639,19-Jul-2023,-23099.62,operation_cost = purchase_cost + delivery_cost
14-Apr-2022,19:45:54,GS0506,D44,5387,first_arrival,22970639,17-Nov-2022,-23099.62,arrived safely
14-Apr-2022,19:45:54,CS2031,D44,9142,first_arrival,22970639,02-Aug-2023,-23099.62,
16-Apr-2022,19:47:00,GC5876,D5,5026,first_arrival,11657589,01-Dec-2022,-70472.21,arrived safely
16-Apr-2022,19:47:00,AS0892,D5,1831,first_arrival,11657589,10-Mar-2023,-70472.21,arrived safely
16-Apr-2022,19:47:00,FV1192,D5,7153,first_arrival,11657589,16-May-2022,-70472.21,arrived safely
16-Apr-2022,19:47:00,LC1828,D5,8529,first_arrival,11657589,29-Sep-2022,-70472.21,arrived safely
16-Apr-2022,19:47:00,XT6659,D5,1917,first_arrival,11657589,15-May-2023,-70472.21,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,19:47:00,XF2104,D5,6802,first_arrival,11657589,10-Jun-2022,-70472.21,operation_cost = purchase_cost + delivery_cost
16-Apr-2022,19:47:00,LZ0503,D5,4939,first_arrival,11657589,14-Jun-2023,-70472.21,arrived safely
18-Apr-2022,21:20:18,DB1846,A32,3908,sale,65360030,19-Dec-2022,11774.66,yay
18-Apr-2022,22:04:30,FZ4689,A48,5731,first_arrival,09380109,02-Aug-2023,-63058.24,operation_cost = purchase_cost + delivery_cost
18-Apr-2022,22:04:30,JA0809,A48,3606,first_arrival,09380109,16-Jun-2023,-63058.24,arrived safely
18-Apr-2022,22:04:30,KY7390,A48,8208,first_arrival,09380109,23-Jan-2023,-63058.24,arrived safely
