date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
14-Feb-2022,11:20:06,MO0892,A48,4068,first_arrival,59163483,30-Mar-2022,-7649.73,operation_cost = purchase_cost + delivery_cost
14-Feb-2022,11:20:06,XP1992,A48,1981,first_arrival,59163483,24-Jun-2022,-7649.73,operation_cost = purchase_cost + delivery_cost
14-Feb-2022,11:20:06,AS6041,A48,5382,first_arrival,59163483,19-Jan-2023,-7649.73,arrived safely
14-Feb-2022,11:20:06,FK6134,A48,6127,first_arrival,59163483,03-Aug-2023,-7649.73,
14-Feb-2022,11:20:06,RC7703,A48,3153,first_arrival,59163483,07-May-2022,-7649.73,operation_cost = purchase_cost + delivery_cost
14-Feb-2022,11:20:06,QX1469,A48,6680,first_arrival,59163483,28-Mar-2023,-7649.73,arrived safely
28-Feb-2022,20:34:52,PB5726,D5,9974,first_arrival,07755815,12-Dec-2022,-22180.16,arrived safely
28-Feb-2022,20:34:52,GZ6647,D5,6801,first_arrival,07755815,13-Jul-2023,-22180.16,
28-Feb-2022,20:34:52,GU1254,D5,4506,first_arrival,07755815,31-Oct-2022,-22180.16,operation_cost = purchase_cost + delivery_cost
28-Feb-2022,20:34:52,LL2071,D5,9824,first_arrival,07755815,28-Apr-2023,-22180.16,
01-Mar-2022,00:05:41,MG3311,C22,1889,first_arrival,46986644,28-May-2023,-34622.02,
01-Mar-2022,00:05:41,IY9531,C22,3657,first_arrival,46986644,04-Jun-2022,-34622.02,
01-Mar-2022,00:05:41,GH5007,C22,4787,first_arrival,46986644,11-Jun-2022,-34622.02,arrived safely
01-Mar-2022,00:05:41,XS3473,C22,3064,first_arrival,46986644,13-Oct-2022,-34622.02,arrived safely
01-Mar-2022,00:05:41,LR2872,C22,7303,first_arrival,46986644,30-Mar-2023,-34622.02,
01-Mar-2022,00:05:41,CO3335,C22,1600,first_arrival,46986644,31-May-2023,-34622.02,arrived safely
10-Mar-2022,11:26:20,GU1254,D5,4506,sale,07755815,31-Oct-2022,25423.94,finally
17-Mar-2022,18:32:49,IY9531,A48,5028,move,84350928,04-Jun-2022,-459.02,moving IY9531 from C22:3657 to A48:5028 under 84350928 invoice
21-Mar-2022,05:06:48,IP9086,D44,7726,first_arrival,49503932,24-Aug-2022,-96571.55,arrived safely
21-Mar-2022,05:06:48,CK1716,D44,4781,first_arrival,49503932,05-Mar-2023,-96571.55,arrived safely
21-Mar-2022,05:06:48,MN9139,D44,5616,first_arrival,49503932,22-Mar-2023,-96571.55,arrived safely
21-Mar-2022,05:06:48,GE5539,D44,3415,first_arrival,49503932,02-Aug-2023,-96571.55,arrived safely
21-Mar-2022,05:06:48,OG5918,D44,5884,first_arrival,49503932,24-Apr-2022,-96571.55,operation_cost = purchase_cost + delivery_cost
21-Mar-2022,05:06:48,EI6275,D44,4184,first_arrival,49503932,30-Apr-2023,-96571.55,
21-Mar-2022,05:06:48,FO9562,D44,6691,first_arrival,49503932,01-Dec-2022,-96571.55,
21-Mar-2022,05:06:48,ZZ4375,D44,9194,first_arrival,49503932,09-Aug-2022,-96571.55,operation_cost = purchase_cost + delivery_cost
21-Mar-2022,05:06:48,CV2159,D44,4633,first_arrival,49503932,19-Sep-2022,-96571.55,operation_cost = purchase_cost + delivery_cost
21-Mar-2022,05:06:48,TD9489,D44,1353,first_arrival,49503932,12-Jun-2022,-96571.55,operation_cost = purchase_cost + delivery_cost
28-Mar-2022,03:19:13,CO3335,A39,7634,move,66964618,31-May-2023,-345.94,
12-Apr-2022,08:10:23,ZG4165,B3,3559,first_arrival,79258306,25-May-2022,-53997.30,operation_cost = purchase_cost + delivery_cost
12-Apr-2022,08:10:23,JE3282,B3,2994,first_arrival,79258306,29-Aug-2022,-53997.30,arrived safely
12-Apr-2022,08:10:23,ML9892,B3,2088,first_arrival,79258306,05-Jul-2023,-53997.30,arrived safely
12-Apr-2022,08:10:23,UJ6558,B3,5455,first_arrival,79258306,26-May-2022,-53997.30,arrived safely
12-Apr-2022,08:10:23,ZP4109,B3,8160,first_arrival,79258306,18-Mar-2023,-53997.30,
12-Apr-2022,15:45:14,LR2872,D44,7454,move,42061574,30-Mar-2023,-427.10,
21-Apr-2022,08:23:47,LL2071,A48,9584,move,99293935,28-Apr-2023,-156.70,moving LL2071 from D5:9824 to A48:9584 under 99293935 invoice
24-Apr-2022,14:27:49,IP9086,D5,9812,move,22723838,24-Aug-2022,-218.42,necessary action
29-Apr-2022,00:08:17,RZ4957,B14,0242,first_arrival,96890063,10-Jun-2023,-54109.95,arrived safely
29-Apr-2022,00:08:17,DY8515,B14,3641,first_arrival,96890063,11-Feb-2023,-54109.95,operation_cost = purchase_cost + delivery_cost
29-Apr-2022,00:08:17,BF6328,B14,9877,first_arrival,96890063,16-Feb-2023,-54109.95,arrived safely
03-May-2022,20:35:03,XS3473,D44,3095,move,23091961,13-Oct-2022,-330.12,moving XS3473 from C22:3064 to D44:3095 under 23091961 invoice
07-May-2022,04:57:21,MN9139,A25,8951,move,95501428,22-Mar-2023,-248.95,
09-May-2022,08:04:49,MN9139,A48,5107,move,27938202,22-Mar-2023,-441.89,
11-May-2022,01:06:55,HY0212,B14,1309,first_arrival,24124910,04-Jun-2023,-6654.37,operation_cost = purchase_cost + delivery_cost
11-May-2022,01:06:55,PF6491,B14,7336,first_arrival,24124910,17-Jun-2023,-6654.37,arrived safely
14-May-2022,12:48:14,JC5958,C22,7818,first_arrival,42009672,22-Feb-2023,-94480.28,arrived safely
14-May-2022,12:48:14,NR9793,C22,3179,first_arrival,42009672,28-Aug-2022,-94480.28,
14-May-2022,12:48:14,KM8797,C22,6795,first_arrival,42009672,01-Nov-2022,-94480.28,operation_cost = purchase_cost + delivery_cost
14-May-2022,12:48:14,LV9721,C22,0241,first_arrival,42009672,28-Jan-2023,-94480.28,
14-May-2022,12:48:14,MG9063,C22,7720,first_arrival,42009672,05-Jun-2022,-94480.28,
14-May-2022,12:48:14,RN2516,C22,6304,first_arrival,42009672,07-Jul-2022,-94480.28,operation_cost = purchase_cost + delivery_cost
14-May-2022,12:48:14,OJ2856,C22,8961,first_arrival,42009672,18-Dec-2022,-94480.28,
14-May-2022,12:48:14,YS7898,C22,4969,first_arrival,42009672,24-Mar-2023,-94480.28,operation_cost = purchase_cost + delivery_cost
