date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
18-Feb-2022,18:08:46,IG5983,B14,2413,first_arrival,78202929,26-Jun-2023,-64669.96,
18-Feb-2022,18:08:46,UM8055,B14,7069,first_arrival,78202929,14-Feb-2023,-64669.96,arrived safely
18-Feb-2022,18:08:46,DE3579,B14,4595,first_arrival,78202929,29-Mar-2022,-64669.96,
18-Feb-2022,18:08:46,YD3362,B14,2102,first_arrival,78202929,28-Jul-2022,-64669.96,
18-Feb-2022,18:08:46,OE1720,B14,7690,first_arrival,78202929,25-Jun-2023,-64669.96,arrived safely
18-Feb-2022,18:08:46,LZ4214,B14,8301,first_arrival,78202929,08-Mar-2022,-64669.96,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,07:08:48,CB5854,D44,0112,first_arrival,87517535,16-Feb-2023,-60270.09,
02-Mar-2022,07:08:48,BX5992,D44,5961,first_arrival,87517535,22-Jun-2022,-60270.09,
02-Mar-2022,07:08:48,BM8668,D44,8988,first_arrival,87517535,02-Nov-2022,-60270.09,
02-Mar-2022,07:08:48,VT0677,D44,9285,first_arrival,87517535,12-May-2023,-60270.09,operation_cost = purchase_cost + delivery_cost
02-Mar-2022,07:08:48,EM9050,D44,8099,first_arrival,87517535,21-Mar-2023,-60270.09,
02-Mar-2022,07:08:48,ZC7688,D44,9096,first_arrival,87517535,25-Nov-2022,-60270.09,operation_cost = purchase_cost + delivery_cost
08-Mar-2022,18:40:15,IC8908,A39,5208,first_arrival,15209133,03-Jun-2023,-9069.64,
08-Mar-2022,18:40:15,RN5406,A39,0610,first_arrival,15209133,28-Jan-2023,-9069.64,arrived safely
08-Mar-2022,18:40:15,UE2312,A39,9036,first_arrival,15209133,23-Apr-2023,-9069.64,arrived safely
08-Mar-2022,18:40:15,BF2955,A39,7126,first_arrival,15209133,17-Apr-2022,-9069.64,
08-Mar-2022,18:40:15,HN4759,A39,9991,first_arrival,15209133,10-Nov-2022,-9069.64,
08-Mar-2022,18:40:15,GZ5469,A39,8611,first_arrival,15209133,20-Dec-2022,-9069.64,
08-Mar-2022,18:40:15,BM8584,A39,6228,first_arrival,15209133,21-Jun-2023,-9069.64,arrived safely
09-Mar-2022,03:55:43,QA6461,A39,5468,first_arrival,07082619,23-Apr-2022,-70828.12,
09-Mar-2022,03:55:43,KK6432,A39,2719,first_arrival,07082619,16-Mar-2023,-70828.12,operation_cost = purchase_cost + delivery_cost
09-Mar-2022,03:55:43,WI8834,A39,1947,first_arrival,07082619,03-Oct-2022,-70828.12,
09-Mar-2022,03:55:43,JB7614,A39,4100,first_arrival,07082619,18-Dec-2022,-70828.12,
09-Mar-2022,03:55:43,RG0481,A39,6776,first_arrival,07082619,29-Jan-2023,-70828.12,arrived safely
15-Mar-2022,06:51:13,ZX4401,A39,8835,first_arrival,23583234,09-Jul-2023,-83169.66,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,06:51:13,SU2280,A39,4456,first_arrival,23583234,20-Nov-2022,-83169.66,arrived safely
15-Mar-2022,06:51:13,BK0802,A39,6653,first_arrival,23583234,29-Nov-2022,-83169.66,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,06:51:13,CK3118,A39,9471,first_arrival,23583234,30-Jan-2023,-83169.66,
15-Mar-2022,06:51:13,XV6064,A39,0112,first_arrival,23583234,02-Aug-2023,-83169.66,
17-Mar-2022,20:54:31,YD3362,B3,1114,move,69218305,28-Jul-2022,-134.28,moving YD3362 from B14:2102 to B3:1114 under 69218305 invoice
