date,time,sku,warehouse,warehouse_cell_id,operation,invoice,expiration_date,operation_cost,comment
25-Feb-2022,11:30:26,JH4440,D44,2800,first_arrival,97127076,08-Apr-2023,-32606.58,
25-Feb-2022,11:30:26,SM3167,D44,5538,first_arrival,97127076,12-Oct-2022,-32606.58,arrived safely
25-Feb-2022,11:30:26,MH1755,D44,7093,first_arrival,97127076,01-Mar-2023,-32606.58,arrived safely
25-Feb-2022,11:30:26,JZ9036,D44,3177,first_arrival,97127076,11-Feb-2023,-32606.58,arrived safely
25-Feb-2022,11:30:26,MB1547,D44,3719,first_arrival,97127076,05-Mar-2023,-32606.58,operation_cost = purchase_cost + delivery_cost
25-Feb-2022,11:30:26,XR3152,D44,1784,first_arrival,97127076,07-Aug-2022,-32606.58,
25-Feb-2022,11:30:26,HA5394,D44,3641,first_arrival,97127076,02-Aug-2023,-32606.58,operation_cost = purchase_cost + delivery_cost
25-Feb-2022,11:30:26,DD7539,D44,8802,first_arrival,97127076,09-Apr-2022,-32606.58,
25-Feb-2022,11:30:26,FJ2201,D44,6833,first_arrival,97127076,02-Nov-2022,-32606.58,operation_cost = purchase_cost + delivery_cost
25-Feb-2022,11:30:26,EZ9111,D44,5648,first_arrival,97127076,18-Jun-2022,-32606.58,arrived safely
25-Feb-2022,11:30:26,HU2525,D44,1313,first_arrival,97127076,15-May-2022,-32606.58,
07-Mar-2022,20:40:10,MQ3998,A32,4077,first_arrival,41651102,28-Jan-2023,-56845.40,operation_cost = purchase_cost + delivery_cost
07-Mar-2022,20:40:10,MA1353,A32,1933,first_arrival,41651102,15-Sep-2022,-56845.40,
07-Mar-2022,20:40:10,RU9098,A32,6305,first_arrival,41651102,06-Jul-2022,-56845.40,arrived safely
15-Mar-2022,06:25:30,IS2035,D5,3327,first_arrival,04848896,26-Mar-2022,-92297.41,arrived safely
15-Mar-2022,06:25:30,LX3122,D5,8244,first_arrival,04848896,11-Nov-2022,-92297.41,arrived safely
15-Mar-2022,06:25:30,LN9310,D5,3997,first_arrival,04848896,28-May-2022,-92297.41,operation_cost = purchase_cost + delivery_cost
15-Mar-2022,06:25:30,MX2905,D5,4012,first_arrival,04848896,15-Jan-2023,-92297.41,
15-Mar-2022,06:25:30,CG0266,D5,3110,first_arrival,04848896,15-Oct-2022,-92297.41,operation_cost = purchase_cost + delivery_cost
24-Mar-2022,23:27:16,MX2905,D5,4012,sale,04848896,15-Jan-2023,5098.57,finally
26-Mar-2022,11:21:33,TF6689,B3,6215,first_arrival,03552777,10-Sep-2022,-50639.30,
26-Mar-2022,11:21:33,TD2849,B3,2745,first_arrival,03552777,19-Jul-2023,-50639.30,arrived safely
26-Mar-2022,11:21:33,FF1669,B3,8354,first_arrival,03552777,28-Apr-2022,-50639.30,operation_cost = purchase_cost + delivery_cost
26-Mar-2022,11:21:33,TO1352,B3,0628,first_arrival,03552777,16-Jan-2023,-50639.30,arrived safely
26-Mar-2022,11:21:33,IY0263,B3,7798,first_arrival,03552777,23-Jan-2023,-50639.30,
26-Mar-2022,11:21:33,WK6746,B3,3913,first_arrival,03552777,17-Nov-2022,-50639.30,operation_cost = purchase_cost + delivery_cost
26-Mar-2022,11:21:33,CO8466,B3,0812,first_arrival,03552777,16-May-2023,-50639.30,arrived safely
26-Mar-2022,11:21:33,EM3060,B3,7481,first_arrival,03552777,04-Mar-2023,-50639.30,arrived safely
26-Mar-2022,11:21:33,KL6072,B3,3787,first_arrival,03552777,01-Jun-2022,-50639.30,operation_cost = purchase_cost + delivery_cost
26-Mar-2022,11:21:33,SI7314,B3,9117,first_arrival,03552777,26-Feb-2023,-50639.30,operation_cost = purchase_cost + delivery_cost
26-Mar-2022,11:21:33,KV6013,B3,0925,first_arrival,03552777,26-Dec-2022,-50639.30,
26-Mar-2022,18:46:51,HU2525,C22,2304,move,66916489,15-May-2022,-255.90,moving HU2525 from D44:1313 to C22:2304 under 66916489 invoice
28-Mar-2022,13:19:30,SM3167,D44,5538,sale,97127076,12-Oct-2022,16267.32,
04-Apr-2022,22:09:47,KX0755,B14,0196,first_arrival,39845352,26-Mar-2023,-40271.66,
04-Apr-2022,22:09:47,TO5855,B14,0830,first_arrival,39845352,08-Jul-2023,-40271.66,
04-Apr-2022,22:09:47,HU8281,B14,9427,first_arrival,39845352,28-May-2023,-40271.66,operation_cost = purchase_cost + delivery_cost
04-Apr-2022,22:09:47,MC4159,B14,0353,first_arrival,39845352,09-Aug-2023,-40271.66,arrived safely
04-Apr-2022,22:09:47,LV6983,B14,5670,first_arrival,39845352,30-May-2022,-40271.66,operation_cost = purchase_cost + delivery_cost
04-Apr-2022,22:09:47,LH0055,B14,0125,first_arrival,39845352,29-May-2022,-40271.66,operation_cost = purchase_cost + delivery_cost
04-Apr-2022,22:09:47,MU3963,B14,6677,first_arrival,39845352,28-Jun-2022,-40271.66,operation_cost = purchase_cost + delivery_cost
04-Apr-2022,22:09:47,PV3433,B14,1619,first_arrival,39845352,19-Feb-2023,-40271.66,operation_cost = purchase_cost + delivery_cost
04-Apr-2022,22:09:47,GK9200,B14,1823,first_arrival,39845352,26-Jan-2023,-40271.66,
04-Apr-2022,22:09:47,XY9305,B14,4835,first_arrival,39845352,24-Jun-2022,-40271.66,arrived safely
04-Apr-2022,22:09:47,JQ3741,B14,8413,first_arrival,39845352,27-Jun-2022,-40271.66,
13-Apr-2022,19:43:34,TO5855,A25,5192,move,72100376,08-Jul-2023,-174.04,
14-Apr-2022,00:14:31,HA5394,A32,8078,move,57967912,02-Aug-2023,-433.10,necessary action
28-Apr-2022,09:33:15,JB7388,A48,8780,first_arrival,51380846,27-Sep-2022,-142018.10,arrived safely
